SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
EUR/USD,"2018-11-07 01:07:01",NULL,1.14215,1.14215,NULL,NULL,1.1421,1.1422,2018-11-07,01:07:01,3656141
EUR/USD,"2018-11-07 01:08:01",NULL,1.1421000000000001,1.14205,NULL,NULL,1.1419,1.1423,2018-11-07,01:08:01,3656147
EUR/USD,"2018-11-07 01:09:00",NULL,1.14215,1.1421000000000001,NULL,NULL,1.1419,1.1423,2018-11-07,01:09:00,3656153
EUR/USD,"2018-11-07 01:10:37",NULL,1.1419,1.1419,NULL,NULL,1.1418,1.142,2018-11-07,01:10:37,3656159
EUR/USD,"2018-11-07 01:11:00",NULL,1.1420499999999998,1.1419,NULL,NULL,1.1419,1.1421,2018-11-07,01:11:00,3656165
EUR/USD,"2018-11-07 01:12:00",NULL,1.142,1.142,NULL,NULL,1.1419,1.1421,2018-11-07,01:12:00,3656171
EUR/USD,"2018-11-07 01:13:00",NULL,1.14205,1.14155,NULL,NULL,1.1414,1.1417,2018-11-07,01:13:00,3656177
EUR/USD,"2018-11-07 01:14:00",NULL,1.1418,1.14155,NULL,NULL,1.1417,1.1419,2018-11-07,01:14:00,3656183
EUR/USD,"2018-11-07 01:15:01",NULL,1.1418499999999998,1.1418499999999998,NULL,NULL,1.1417,1.142,2018-11-07,01:15:01,3656189
EUR/USD,"2018-11-07 01:16:00",NULL,1.1418499999999998,1.1416499999999998,NULL,NULL,1.1416,1.1417,2018-11-07,01:16:00,3656195
EUR/USD,"2018-11-07 01:17:00",NULL,1.1418,1.1416,NULL,NULL,1.1416,1.1417,2018-11-07,01:17:00,3656201
EUR/USD,"2018-11-07 01:18:00",NULL,1.1416499999999998,1.1416499999999998,NULL,NULL,1.1414,1.1419,2018-11-07,01:18:00,3656207
EUR/USD,"2018-11-07 01:19:00",NULL,1.1416499999999998,1.1416499999999998,NULL,NULL,1.1415,1.1418,2018-11-07,01:19:00,3656213
EUR/USD,"2018-11-07 01:20:04",NULL,1.14175,1.1416499999999998,NULL,NULL,1.1414,1.1419,2018-11-07,01:20:04,3656219
EUR/USD,"2018-11-07 01:21:01",NULL,1.1416499999999998,1.14155,NULL,NULL,1.1413,1.1418,2018-11-07,01:21:01,3656225
EUR/USD,"2018-11-07 01:22:00",NULL,1.1416499999999998,1.14155,NULL,NULL,1.1416,1.1417,2018-11-07,01:22:00,3656232
EUR/USD,"2018-11-07 01:23:01",NULL,1.1416,1.1416,NULL,NULL,1.1415,1.1417,2018-11-07,01:23:01,3656237
EUR/USD,"2018-11-07 01:24:01",NULL,1.1416499999999998,1.1416,NULL,NULL,1.1416,1.1417,2018-11-07,01:24:01,3656244
EUR/USD,"2018-11-07 01:25:00",NULL,1.1417,1.1416499999999998,NULL,NULL,1.1415,1.1419,2018-11-07,01:25:00,3656249
EUR/USD,"2018-11-07 01:26:01",NULL,1.14195,1.1418,NULL,NULL,1.1417,1.1419,2018-11-07,01:26:01,3656255
EUR/USD,"2018-11-07 01:27:00",NULL,1.1418,1.1417,NULL,NULL,1.1415,1.142,2018-11-07,01:27:00,3656261
EUR/USD,"2018-11-07 01:28:00",NULL,1.1418,1.14175,NULL,NULL,1.1416,1.142,2018-11-07,01:28:00,3656268
EUR/USD,"2018-11-07 01:29:01",NULL,1.14195,1.1419,NULL,NULL,1.1417,1.1422,2018-11-07,01:29:01,3656274
EUR/USD,"2018-11-07 01:32:00",NULL,1.14195,1.14195,NULL,NULL,1.1417,1.1422,2018-11-07,01:32:00,3656279
EUR/USD,"2018-11-07 01:33:01",NULL,1.14195,1.1418499999999998,NULL,NULL,1.1419,1.142,2018-11-07,01:33:01,3656285
EUR/USD,"2018-11-07 01:34:00",NULL,1.14215,1.14195,NULL,NULL,1.1421,1.1422,2018-11-07,01:34:00,3656291
EUR/USD,"2018-11-07 01:35:00",NULL,1.14225,1.1421999999999999,NULL,NULL,1.1421,1.1423,2018-11-07,01:35:00,3656297
EUR/USD,"2018-11-07 01:36:01",NULL,1.14235,1.1423,NULL,NULL,1.1421,1.1425,2018-11-07,01:36:01,3656303
EUR/USD,"2018-11-07 01:37:01",NULL,1.1424500000000002,1.1424500000000002,NULL,NULL,1.1422,1.1427,2018-11-07,01:37:01,3656309
EUR/USD,"2018-11-07 01:38:00",NULL,1.1424500000000002,1.14225,NULL,NULL,1.142,1.1425,2018-11-07,01:38:00,3656315
EUR/USD,"2018-11-07 01:39:01",NULL,1.1423,1.14225,NULL,NULL,1.1421,1.1424,2018-11-07,01:39:01,3656321
EUR/USD,"2018-11-07 01:40:21",NULL,1.1421999999999999,1.1421999999999999,NULL,NULL,1.1421,1.1423,2018-11-07,01:40:21,3656327
EUR/USD,"2018-11-07 01:41:01",NULL,1.1424,1.14215,NULL,NULL,1.1421,1.1422,2018-11-07,01:41:01,3656333
EUR/USD,"2018-11-07 01:42:00",NULL,1.14215,1.14205,NULL,NULL,1.1418,1.1423,2018-11-07,01:42:00,3656339
EUR/USD,"2018-11-07 01:43:01",NULL,1.14195,1.14195,NULL,NULL,1.1419,1.142,2018-11-07,01:43:01,3656346
EUR/USD,"2018-11-07 01:44:00",NULL,1.14195,1.1418499999999998,NULL,NULL,1.1416,1.1421,2018-11-07,01:44:00,3656351
EUR/USD,"2018-11-07 01:45:00",NULL,1.1418499999999998,1.1416499999999998,NULL,NULL,1.1415,1.1418,2018-11-07,01:45:00,3656357
EUR/USD,"2018-11-07 01:46:00",NULL,1.14175,1.14175,NULL,NULL,1.1415,1.142,2018-11-07,01:46:00,3656364
