,Unnamed: 0,newsId,newsTitle,newsTime,ccyName,sentimentScore,lastUpdateTime,sentiment,body,subjects,takeSequence,messageType,is_central_bank,is_political,and_filter,or_filter,EUR_sent,10m_Increase
0,3,8632a7c603f177cce59c43cdee4a3e15,UPDATE 1-Four charged with Slovak reporter's murder ordered held pending trial,2018-10-01 0:22:12,EUR,-1.24666,2018-10-01 0:22:23,{'EUR': 'Very Negative'}," (Adds details on fourth suspect, background)
    BRATISLAVA, Sept 30 (Reuters) - A Slovak court on Sunday
ordered four people jailed until their trial for the murder of
investigative reporter Jan Kuciak and his fiancee, a state
prosecutor said.
    The February killings sparked nationwide protests that
toppled the government of Robert Fico, who had run Slovakia for
all but two of the past 12 years.
    Three suspects were detained in a house raid on Thursday
morning and charged with murder on Friday. [nL8N1WD2F0]  
    The fourth suspect, a woman detained separately on Friday,
has been charged with participating in the murder, which may
have included helping, planning, ordering or organising the
killing, Kuciak family's lawyer Daniel Lipsic told Reuters.  
    Authorities released no further details on the four suspects
and it is not yet clear when the trial might take place.
    Kuciak had, among other things, investigated fraud involving
businessmen with Slovak political ties, and the suspected mafia
links of Italians with businesses in Slovakia. [nL8N1W33GJ]
    A prosecutor said this month the February murder was likely
a contract killing related to Kuciak's work.
    His final story, published posthumously, reported on an
Italian living in Slovakia with past business links to two
Slovaks who later worked in the office of then-prime minister
Fico.
    Both of the Slovaks resigned, but deny connections to the
murder. Their Italian former business partner has also denied
having connections with the mafia and the murder, but was
detained on a European drug trafficking warrant in March and
extradited to Italy in May. [nL8N1RX38P]
    Weeks of public protests in March eventually forced the
departure of the long-serving Fico but his three-party coalition
has remained in power under Prime Minister Peter Pellegrini, who
comes from the Smer party, which Fico still heads.
    

 (Reporting by Tatiana Jancarikova, Editing by Michael Kahn and
Adrian Croft)
 ((Tatiana.Jancarikova@thomsonreuters.com;))","['G:1C', 'G:3', 'G:A', 'G:AL', 'G:B', 'G:B2', 'M:1L', 'M:9', 'M:A', 'M:E7', 'M:ES', 'M:EV', 'M:F4', 'M:LK', 'M:M0', 'M:N', 'M:15', 'M:D7', 'M:FG', 'M:G', 'G:1', 'M:EL', 'M:N5', 'M:1QD', 'N2:SK', 'N2:WEU', 'N2:EUROP', 'N2:EZC', 'N2:CEEU', 'N2:EEU', 'N2:NEWS1', 'N2:VIO', 'N2:CRIM', 'N2:GEN', 'N2:CLJ', 'N2:JUDIC', 'N2:MURD', 'N2:SECUR', 'N2:HRGT', 'N2:POL', 'N2:MTPIX', 'N2:PXP', 'N2:FRAUD1', 'N2:VOTE', 'N2:EMRG', 'N2:CWP', 'N2:CIV', 'N2:LEN']",1,2,False,True,False,True,Very Negative,3.0000000000196536e-05
1,163,850482ac72a4a09dd835ce8761288a3f,Slovak prosecutor may charge more people over journalist's murder,2018-10-01 18:13:10,EUR,0.0,2018-10-01 18:13:16,{'EUR': 'Very Negative'},"    BRATISLAVA, Oct 1 (Reuters) - More people may be charged
over the killing of Slovak investigative journalist Jan Kuciak,
the country's top prosecutor said on Monday.
    A Slovak court on Sunday ordered four people jailed until
trial for the murder in February of Kuciak and his fiancée, a
killing that sparked nationwide protests and help topple the
government. [nL8N1WG0RZ]

 (Reporting by Tatiana Jancarikova, writing by Jason Hovet,
editing by Robin Pomeroy)
 ((jason.hovet@thomsonreuters.com; +420 224 190 476; Reuters
Messaging: jason.hovet.thomsonreuters.com@reuters.net))","['G:1C', 'G:3', 'G:A', 'G:AL', 'G:B', 'G:B2', 'M:9', 'M:A', 'M:E7', 'M:ES', 'M:EV', 'M:F4', 'M:K', 'M:LK', 'M:M0', 'M:N', 'G:1', 'M:EL', 'M:DU', 'M:N5', 'MCCL:OVR', 'MCC:OVR', 'M:1QD', 'N2:SK', 'N2:WEU', 'N2:EUROP', 'N2:EZC', 'N2:CEEU', 'N2:EEU', 'N2:VIO', 'N2:CRIM', 'N2:GEN', 'N2:CLJ', 'N2:JUDIC', 'N2:MURD', 'N2:EU', 'N2:SECUR', 'N2:HRGT', 'N2:POL', 'N2:EMRG', 'N2:CWP', 'N2:INTAG', 'N2:CIV', 'N2:LEN']",1,2,False,True,False,True,Very Negative,6.999999999979245e-05
2,186,2db826ecf52e84706247191194d569ff,Romania sells 151.2 mln lei Sept. 2031 treasury bonds,2018-10-01 19:21:29,EUR,0.0,2018-10-01 19:21:35,"{'USD': 'Neutral', 'EUR': 'Very Negative'}","    BUCHAREST, Oct 1 (Reuters) - Romania sold a lower than
planned 151.2 million lei ($37.70 million) of September 2031
treasury bonds on Monday, with the average accepted yield at
5.28 percent, central bank data showed. 
    Debt managers last issued the paper in September at an
average yield of 5.23 percent.
    So far this year, Romania has sold 28.5 billion lei and 361
million euros of domestic debt. The finance ministry has also
tapped foreign markets for 2.0 billion euros of 2028 and 2030
Eurobonds, as well as $1.2 billion of 2048 dollar bonds.

 Series: RO1631DBN055                        
 Issue date                  03/10/2018      10/09/2018
 Auction date                01/10/2018      06/09/2018
 Maturity                    24/09/2031      24/09/2031
 Avg.yield (pct)               5.28            5.23
 Avg. accepted price          84.9851         85.3158
 Highest accepted yield        5.31            5.25
 Tail (highest yield minus     0.03            0.02
 average yield)                              
 Total bids                  259.2 mln lei   181.0 mln lei 
                                             
 Allotted                    151.2 mln lei   100.0 mln lei 
                                             
 Bid-to-cover ratio            1.7             1.8
 ($1 = 4.0102 lei)

 (Reporting by Radu Marinas)
 ((radu.marinas@thomsonreuters.com; +40 21 305 5266; Reuters
Messaging: radu.marinas.thomsonreuters.com@reuters.net))","['G:2Z', 'G:Y', 'G:B2', 'G:B', 'G:1', 'G:A', 'A:N', 'A:2', 'E:W', 'A:8', 'A:9', 'M:E9', 'E:6', 'M:E7', 'M:N', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:RO', 'N2:SEEU', 'N2:EEU', 'N2:CEEU', 'N2:EMRG', 'N2:EUROP', 'N2:GVD', 'N2:DBT', 'N2:ISU', 'N2:MMT', 'N2:FRX', 'N2:GFIN', 'N2:MEVN', 'N2:GEN', 'N2:POL', 'N2:LEN']",1,2,False,True,False,True,Very Negative,7.999999999985796e-05
3,404,8b87cb8a1ce1d584eb1788f759381d88,Turkey - Factors to Watch on Oct. 2,2018-10-02 13:05:51,EUR,0.0,2018-10-02 13:05:57,"{'USD': 'Negative', 'EUR': 'Very Negative'}","    ISTANBUL, Oct 2 (Reuters) - Here are news, reports and
events that may affect Turkish financial markets on Tuesday.
    The lira <TRYTOM=D3> <TRY=> stood at 5.9490 against the
dollar at 0505 GMT, easing from a close of 5.9410 on Monday.
    The yield on the benchmark 10-year bond <TR10YT=RR> fell to
17.69 percent on Monday from 17.92 percent on Friday.
    The main BIST 100 share index <.XU100> fell 1.42 percent on
Monday to 98,537.15 points.
    
    GLOBAL MARKETS
    Asian stocks fell on Tuesday as the lift from an agreement
that saved the North American free trade deal faded, with
cautious views on the global economy curbing risk sentiment.
MSCI's broadest index of Asia-Pacific shares outside Japan
<.MIAPJ0000PUS> fell 1 percent after a steady start.
[nL4N1WI0IR]
    
    ERDOGAN
    President Tayyip Erdogan will make a speech to lawmakers
from his AK Party in parliament (0845 GMT). He will then attend
meetings of the party's district heads (1030 GMT), the AKP
women's branch (1130 GMT) and the party's central executive
committee (1300 GMT).
    
    PARLIAMENT
    Opposition parties' lawmakers will also hold group meetings
in parliament as the new legislative year gets under way.
    
    FITCH DOWNGRADES 20 TURKISH BANKS
    Fitch Ratings has downgraded the Long-Term Foreign-Currency
Issuer Default Ratings (LTFC IDRs) of 20 Turkish banks and their
subsidiaries. The agency has also downgraded the Viability
Ratings (VRs) of 12 banks. [nFit7Knv28]
    
    SYRIA'S MANBIJ
    The United States and Turkey have started training together
to carry out joint patrols soon in northern Syria's Manbij area,
U.S. Defence Secretary Jim Mattis said on Monday, despite tense
relations between the two countries. [nL2N1WH1DQ]
    
    TURKEY, GERMANY
    Turkey has delivered a list of 136 people it wants German
authorities to extradite over suspected links to terrorist
groups, Hurriyet newspaper quoted President Erdogan as saying on
Monday. [nL8N1WH587]
    
    CUSTOMS TRADE DATA <TRTRDA=ECI>
    The customs ministry will announce trade data for September
(0800 GMT).
  
    FOREIGN MINISTER
    Foreign Minister Mevlut Cavusoglu will hold a news
conference with his Cambodian counterpart Prak Sokhon. 
    
    For other related news, double click on:
    Turkish politics <TR-POL>
    Turkish equities <TR-E>
    Turkish money <TR-M>
    Turkish debt <TR-D>
    Turkish hot stocks <TR-HOT>
    Forex news <FRX>
    All emerging market news <EMRG>
    All Turkish news <TR>
    For real-time quotes, double click on:
    Istanbul National-100 stock index <.XU100>, interbank lira
trading <IYIX=>, lira bond trading <0#TRTSYSUM=IS>

 (Compiled by Daren Butler)
 ((daren.butler@tr.com; +90-212-350 7053; Reuters Messaging:
daren.butler.thomsonreuters.com@reuters.net))","['G:Q', 'A:9', 'G:8Z', 'G:3', 'G:H', 'A:2', 'G:A', 'E:9', 'E:5', 'G:S', 'G:1', 'M:Z', 'A:1', 'G:K', 'A:N', 'M:N', 'G:Y', 'M:E7', 'R:.XU100', 'R:TRYTOM=D3', 'R:TR10YT=RR', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'R:TRTRDA=ECI', 'R:.XU100', 'R:.MIAPJ0000PUS', 'N2:MEAST', 'N2:FRX', 'N2:TR', 'N2:WEU', 'N2:SWASIA', 'N2:DBT', 'N2:EUROP', 'N2:ECI', 'N2:MCE', 'N2:ASXPAC', 'N2:EMRG', 'N2:CMPNY', 'N2:STX', 'N2:ASIA', 'N2:GVD', 'N2:POL', 'N2:SEEU', 'N2:GEN', 'N2:LEN']",1,2,False,True,False,True,Very Negative,0.00028999999999990145
4,416,34d582347d49dbb3525e0eb7b4b5f8ff,Danske Bank whistleblower invited to testify before EU parliament committee,2018-10-02 14:02:15,EUR,0.0,2018-10-02 14:02:21,"{'EUR': 'Very Negative', 'GBP': 'Neutral'}","    COPENHAGEN, Oct 2 (Reuters) - The whistleblower who helped
reveal alleged money laundering at Danske Bank's <DANSKE.CO>
Estonian branch has been invited to testify at the European
Parliament's special committee on financial crimes, tax evasion
and tax avoidance, chairman of the committee Dane Jeppe Kofod
said on Facebook.
    The whistleblower was Briton Howard Wilkinson, a former head
of Danske Bank's trading business in the Baltics, Danish
newspaper Berlingske reported last week. The invitation is for
Nov 21, Danish news agency Ritzau reported.    
    

 (Reporting by Teis Jensen; Editing by Muralikumar Anantharaman)
 ((teis.jensen@thomsonreuters.com; +4533969653/+4526309653;
Reuters Messaging: teis.jensen.thomsonreuters.com@reuters.net))","['A:2', 'A:U', 'B:1219', 'B:127', 'B:128', 'B:1615', 'B:1643', 'B:1698', 'B:208', 'B:261', 'B:262', 'E:1', 'E:5', 'E:D', 'E:E', 'E:N', 'E:Q', 'G:1', 'G:19', 'G:2', 'G:3', 'G:38', 'G:3D', 'G:3N', 'G:6J', 'G:M', 'M:C', 'M:EV', 'M:N', 'G:7J', 'G:7K', 'G:9D', 'G:A', 'G:B2', 'G:U', 'M:15', 'M:4S', 'M:NY', 'M:Z', 'M:N2', 'M:T', 'M:K', 'M:FG', 'M:PJ', 'M:FF', 'M:A', 'M:1L', 'B:195', 'B:234', 'B:239', 'B:242', 'B:34', 'B:43', 'B:49', 'B:125', 'B:126', 'B:130', 'B:263', 'M:P9', 'B:147', 'B:270', 'E:G', 'G:AJ', 'G:B', 'G:E', 'G:K', 'G:S', 'G:AL', 'G:4', 'G:9', 'G:AX', 'M:E7', 'M:ES', 'M:DU', 'R:DANSKE.CO', 'P:8589934305', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:CDM', 'N2:BSUP1', 'N2:BSVC', 'N2:BNKS', 'N2:BNKS1', 'N2:WLTH', 'N2:PFUND', 'N2:INVM', 'N2:FINS', 'N2:BISV', 'N2:BACT', 'N2:MCE', 'N2:REGS', 'N2:MNGISS', 'N2:AAA', 'N2:RESF', 'N2:EMRG', 'N2:DK', 'N2:SCANDV', 'N2:WEU', 'N2:RU', 'N2:DE', 'N2:NO', 'N2:US', 'N2:NORD', 'N2:DIP', 'N2:JUDIC', 'N2:POL', 'N2:GB', 'N2:NL', 'N2:EE', 'N2:EUROP', 'N2:EEU', 'N2:BALT', 'N2:MTPIX', 'N2:ANV', 'N2:BLR', 'N2:CMPNY', 'N2:SCAM1', 'N2:LAW', 'N2:EU', 'N2:FRAUD1', 'N2:EREP', 'N2:BRIB', 'N2:CRIM', 'N2:NEWS1', 'N2:BSUP', 'N2:INDS', 'N2:ISER', 'N2:CMSS', 'N2:INDS08', 'N2:ISER08', 'N2:CMSS08', 'N2:FINS08', 'N2:BISV08', 'N2:INVS08', 'N2:INVBIS', 'N2:WLTH08', 'N2:INVT08', 'N2:CINV', 'N2:RES', 'N2:CISC', 'N2:CEEU', 'N2:NASIA', 'N2:ASIA', 'N2:ASXPAC', 'N2:EZC', 'N2:AMERS', 'N2:NAMER', 'N2:BLUX', 'N2:GEN', 'N2:CLJ', 'N2:INTAG', 'N2:LEN']",1,2,False,True,False,True,Very Negative,0.00018999999999991246
5,433,609aae7c171727b5eec3371a03583927,French police raid Muslim club in counter-terror swoop,2018-10-02 14:51:37,EUR,0.0,2018-10-02 14:51:51,{'EUR': 'Very Negative'},"    LILLE, France, Oct 2 (Reuters) - French police raided the
premises of a Muslim club before dawn on Tuesday as well as the
homes of members of the club, in a swoop that the local
government prefect's office said was prompted by serious
suspicions of pro-Islamist militancy. 
    The operation involving some two hundred police began around
6 a.m. targetted a club known as Centre Zahra France and 12 of
its members in an area called Grande Synthe, near Dunkirk and
not far from Calais on France's northern coast 
    France, home to Europe's largest Muslim community, remains
on maximum security alert after attacks over recent years in
which Islamist militants and assailants inspired by militant
groups such as Islamic State have killed close to 250 people.
    ""This is a counter-terrorism operation,"" said a statement
from the prefect's office.
    ""The activities of Centre Zahra France are under
particularly close watch given its leaders' clear support for
several terrorist oganisations and movements espousing ideas
contrary to (French) republican values,"" it said.

 (Reporting by Pierre Savary in Lille; Writing by Brian Love;
Editing by Leigh Thomas)
 ((brian.love@thomsonreuters.com; +33 1 4949 5363;))","['G:5M', 'G:AL', 'G:3', 'G:A', 'E:B', 'M:LK', 'M:ES', 'M:IG', 'M:N', 'M:NX', 'E:5', 'M:E7', 'M:I4', 'M:I9', 'M:EL', 'M:1QD', 'N2:FR', 'N2:EZC', 'N2:WEU', 'N2:EUROP', 'N2:PLCY', 'N2:SECUR', 'N2:CLJ', 'N2:ISLM', 'N2:POL', 'N2:INSURG', 'N2:MCE', 'N2:GEN', 'N2:SOCI', 'N2:REL', 'N2:CWP', 'N2:LEN']",1,2,False,True,False,True,Very Negative,1.999999999990898e-05
6,474,167d97a08bbe67f7fbbdbeeb57c82957,CORRECTED-Danske Bank whistleblower invited to testify before EU parliament committee,2018-10-02 16:28:17,EUR,0.0,2018-10-02 16:28:23,"{'EUR': 'Very Negative', 'GBP': 'Neutral'}"," (Changes from chairman to spokesman in first paragraph)
    COPENHAGEN, Oct 2 (Reuters) - The whistleblower who helped
reveal alleged money laundering at Danske Bank's <DANSKE.CO>
Estonian branch has been invited to testify at the European
Parliament's special committee on financial crimes, tax evasion
and tax avoidance, spokesman for the committee Dane Jeppe Kofod
said on Facebook.
    The whistleblower was Briton Howard Wilkinson, a former head
of Danske Bank's trading business in the Baltics, Danish
newspaper Berlingske reported last week. The invitation is for
Nov. 21, Danish news agency Ritzau reported.    
    

 (Reporting by Teis Jensen; Editing by Muralikumar Anantharaman)
 ((teis.jensen@thomsonreuters.com; +4533969653/+4526309653;
Reuters Messaging: teis.jensen.thomsonreuters.com@reuters.net))","['A:2', 'A:U', 'B:1219', 'B:127', 'B:128', 'B:1615', 'B:1643', 'B:1698', 'B:208', 'B:261', 'B:262', 'E:1', 'E:5', 'E:D', 'E:E', 'E:N', 'E:Q', 'G:1', 'G:19', 'G:2', 'G:3', 'G:38', 'G:3D', 'G:3N', 'G:6J', 'G:7J', 'G:M', 'M:C', 'M:EV', 'M:N', 'G:7K', 'G:9D', 'G:A', 'G:B2', 'G:U', 'M:15', 'M:4S', 'M:NY', 'M:Z', 'M:N2', 'M:T', 'M:K', 'M:FG', 'M:PJ', 'M:FF', 'M:A', 'M:1L', 'M:1RT', 'B:195', 'B:234', 'B:239', 'B:242', 'B:34', 'B:43', 'B:49', 'B:125', 'B:126', 'B:130', 'B:263', 'M:P9', 'B:147', 'B:270', 'E:G', 'G:AJ', 'G:B', 'G:E', 'G:K', 'G:S', 'G:AL', 'G:4', 'G:9', 'G:AX', 'M:MR', 'M:E7', 'M:ES', 'M:DU', 'R:DANSKE.CO', 'P:8589934305', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:CDM', 'N2:BSUP1', 'N2:BSVC', 'N2:BNKS', 'N2:BNKS1', 'N2:WLTH', 'N2:PFUND', 'N2:INVM', 'N2:FINS', 'N2:BISV', 'N2:BACT', 'N2:MCE', 'N2:REGS', 'N2:MNGISS', 'N2:AAA', 'N2:RESF', 'N2:EMRG', 'N2:DK', 'N2:SCANDV', 'N2:WEU', 'N2:RU', 'N2:DE', 'N2:NO', 'N2:US', 'N2:GB', 'N2:NORD', 'N2:DIP', 'N2:JUDIC', 'N2:POL', 'N2:NL', 'N2:EE', 'N2:EUROP', 'N2:EEU', 'N2:BALT', 'N2:MTPIX', 'N2:ANV', 'N2:BLR', 'N2:CMPNY', 'N2:SCAM1', 'N2:LAW', 'N2:EU', 'N2:FRAUD1', 'N2:EREP', 'N2:BRIB', 'N2:CRIM', 'N2:NEWS1', 'N2:TOPNWS', 'N2:BSUP', 'N2:INDS', 'N2:ISER', 'N2:CMSS', 'N2:INDS08', 'N2:ISER08', 'N2:CMSS08', 'N2:FINS08', 'N2:BISV08', 'N2:INVS08', 'N2:INVBIS', 'N2:WLTH08', 'N2:INVT08', 'N2:CINV', 'N2:RES', 'N2:CISC', 'N2:CEEU', 'N2:NASIA', 'N2:ASIA', 'N2:ASXPAC', 'N2:EZC', 'N2:AMERS', 'N2:NAMER', 'N2:BLUX', 'N2:TOPCMB', 'N2:GEN', 'N2:CLJ', 'N2:INTAG', 'N2:LEN']",5,5,False,True,False,True,Very Negative,2.9999999999752447e-05
7,514,63cd0fee52243b4aa74b54c91fce14de,"Italy sovereign, bank CDS jump after League-lawmaker mentions return to own currency",2018-10-02 17:40:52,EUR,0.0,2018-10-02 17:40:58,{'EUR': 'Very Negative'},"    LONDON, Oct 2 (Reuters) - The cost of insuring exposure to
Italian sovereign debt and the debt of the country's largest
lenders rose on Tuesday after an Italian lawmaker said most of
the country's problems would be solved if it returned to its own
currency. [nR1N1VZ00K]
    Five-year credit default swaps <ITGV5YUSAC=MG> jumped 9
basis points (bps) from Monday's close to 268 bps, the highest
level in four months, according to IHS Markit.
    CDS in the country's largest lender UniCredit
<UNIC5YEUAM=MG> <CRDI.MI> and Intesa Sanpaolo <BCIN5YEUAM=MG>
both jumped 10 bps to one-month highs of 168 bps and 178 bps
respectively. 

 (Reporting by Karin Strohecker, Editing by Abhinav Ramnarayan)
 ((karin.strohecker@thomsonreuters.com; +442075427262; Reuters
Messaging: karin.strohecker.reuters.com@reuters.net))","['A:2', 'A:N', 'G:A', 'A:G', 'B:261', 'A:7', 'B:136', 'G:1', 'G:5J', 'A:U', 'M:N', 'M:K', 'G:B4', 'A:9', 'B:128', 'B:1615', 'M:Z', 'E:1', 'A:T', 'G:3', 'B:125', 'B:126', 'B:127', 'B:262', 'G:AL', 'M:DU', 'M:E7', 'R:ITGV5YUSAC=MG', 'R:UNIC5YEUAM=MG', 'R:ISP.MI', 'P:4295875735', 'R:CRDI.MI', 'P:4295875726', 'R:BCIN5YEUAM=MG', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:GVD', 'N2:EUROP', 'N2:CDV', 'N2:FINS', 'N2:DRV', 'N2:INSR', 'N2:EMRG', 'N2:IT', 'N2:CDM', 'N2:POL', 'N2:EU', 'N2:EZ', 'N2:FRX', 'N2:BNKS', 'N2:BNKS1', 'N2:CMPNY', 'N2:BACT', 'N2:CORPD', 'N2:WEU', 'N2:FINS08', 'N2:BISV08', 'N2:BSVC', 'N2:BISV', 'N2:EZC', 'N2:INTAG', 'N2:GEN', 'N2:LEN']",1,2,False,True,False,True,Very Negative,3.999999999981796e-05
8,546,67c4653a79f6887d51d0a9db13f364a5,"PM Conte says euro is unrenounceable"" for Italy""",2018-10-02 18:38:01,EUR,0.0,2018-10-02 18:38:11,{'EUR': 'Very Negative'},"    ROME, Oct 2 (Reuters) - Italy is totally committed to the
euro and any critical comments about the single currency are
individual opinions which have nothing to do with the
government's policies, Prime Minister Giuseppe Conte said on
Tuesday.
    Conte spoke after a eurosceptic lawmaker in the ruling
League party said earlier that Italy would benefit from more
favourable economic conditions if it were outside the euro zone,
roiling financial markets. [nR1N1RB01P]
    ""The euro is our currency and for us it is unrenounceable,""
Conte said on Facebook. Any declarations suggesting otherwise
must be seen as ""free and arbitrary opinions that have nothing
to do with the policies of this government,"" he added.
    Conte also played down tensions with the European Union over
Italy's big-spending budget. He said Rome was beginning a
dialogue with EU institutions with ""serenity and respect for
each other's roles,"" and he was confident the government could
show the validity of its budget plans.  

 (Reporting By Gavin Jones)
 ((gavin.jones@thomsonreuters.com; +39 06 8522 4232;))","['G:5J', 'G:3', 'M:K', 'G:A', 'G:AL', 'M:N', 'A:N', 'A:2', 'A:9', 'M:E9', 'M:E7', 'M:DU', 'a1312cat:f', 'M:1QD', 'N2:IT', 'N2:WEU', 'N2:EU', 'N2:EUROP', 'N2:EZC', 'N2:POL', 'N2:GVD', 'N2:DBT', 'N2:FRX', 'N2:GFIN', 'N2:GEN', 'N2:INTAG', 'N2:LEN']",1,2,False,True,False,True,Very Negative,0.00012999999999996348
9,744,035e34870a4fc6d51ba1293efd9e1075,Romania - Factors to watch on Oct. 3,2018-10-03 13:50:59,EUR,-7.4992600000000005,2018-10-03 13:51:24,{'EUR': 'Very Negative'},"    BUCHAREST, Oct 3 (Reuters) - Here are news stories, press
reports and events to watch which may affect Romanian financial
markets on Wednesday.
        
    RATE MEETING
    The central bank holds interest rate-setting meeting.
Economists polled by Reuters expect it to keep its benchmark
rate on hold at 2.5 percent. <ROINTR=ECI>
    
    PPI DATA
    Industrial producer prices <ROPPIY=ECI> rose 5.9 percent on
the year in August, and edged up 0.6 percent on the month.
[nR5N1P300P]
           
    CEE MARKETS
    Hungary sold 3-month Treasury bill yields at a negative
yield on Tuesday as market players expect that the government
might cut debt issuance in the rest of the year and the
Hungarian central bank keeps interest rates low. [nL8N1WI4DT]
    
    LGBT
    Gay bar owner and novelist Alex Andronic fears a referendum
this weekend in Romania that aims to prevent same sex couples
ever securing the right to marry not only darkens his future, it
will also stir an intolerable level of hate and discrimination.
[nL8N1WI19M]
    
    BREXIT
    Romania's President Klaus Iohannis said after meeting the
European Union's Brexit negotiator Michel Barnier on Tuesday
that a deal with Britain was ""desirable and possible"".
[nL8N1WI3L3]
    

                        
    For the long-term Romanian diary, click on [RO/DIARY]
    For emerging markets economic events, click on [EMRG/DIARY]
    For an index of all diaries, click on [IND/DIARY]     
    For other related news, double click on:
 ---------------------------------------------------------------
 Romanian equities     RO-E     E.Europe equities    .CEE
 Romanian money        RO-M     Romanian debt         RO-D
 Eastern Europe        EEU      All emerging markets  EMRG
 Hot stocks            HOT      Stock markets         STX
 Market debt news      DBT      Forex news            FRX
 For real-time index quotes, double click on:
 Bucharest BETI <.BETI> Warsaw WIG20 <.WIG20> Budapest BUX
<.BUX> Prague PX <.PX>
---------------------------------------------------------


($1 = 4.0104 lei)

 ((bucharest.newsroom@thomsonreuters.com))","['E:5', 'G:1', 'G:2Z', 'G:A', 'G:B', 'G:B2', 'G:Y', 'M:2K', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'R:ROINTR=ECI', 'R:ROPPIY=ECI', 'R:.BETI', 'R:.WIG20', 'R:.BUX', 'R:.PX', 'N2:MCE', 'N2:EMRG', 'N2:RO', 'N2:EUROP', 'N2:CEEU', 'N2:EEU', 'N2:SEEU', 'N2:PRESS', 'N2:LEN']",1,2,False,False,False,False,Very Negative,0.000460000000000127
