,Unnamed: 0,newsId,newsTitle,newsTime,ccyName,sentimentScore,lastUpdateTime,sentiment,body,subjects,takeSequence,messageType,is_central_bank,is_political,and_filter,or_filter,EUR_sent,10m_Increase
0,6,195524aefd650b980097488f768351fb,UPDATE 2-ECB's Coeure expects another year of interest rate stability -Tagesspiegel,2018-10-01 0:52:07,EUR,-1.7833599999999998,2018-10-01 0:52:12,{'EUR': 'Neutral'}," (Adds comments on euro zone economy, reforms, financial system)
    BERLIN, Sept 30 (Reuters) - The European Central Bank (ECB)
expects interest rates to stay at their current level through
the summer of next year and the scaling back of economic
stimulus measures to be gradual, board member Benoit Coeure told
Germany's Taggespiegel.
    The comments are in line with the bank's previous assertion
that it is comfortable with market expectations for an interest
rate rise in the final quarter of 2019.
    ""We expect interest rates to stay at the current level at
least through the summer of 2019. But we have already started to
reduce our net asset purchases and anticipate them ending after
the end of December,"" Coeure told the newspaper in an interview
released on Sunday ahead of publication on Monday.
    With inflation picking up, the ECB has been curbing stimulus
for months and plans to end its 2.6 trillion euro bond purchase
scheme in December. 
    Coeure said that ample monetary stimulus would still be
needed to achieve the bank's euro zone inflation target of
below, but close to, 2 percent. 
    ""Price pressures are gradually picking up. But this doesn’t
happen in one day,"" Coeure said, adding that the euro zone
economy was proving very robust.
    But for all its resilience, Coeure said that trade disputes
and declining support for the multilateral order make
strengthening Europe an urgent task.
    Responsible fiscal policies and economic reforms at national
level, completion of the banking union and capital market union
are needed, he said.
    Asked about Brexit, Coeure said that the ECB has to be
prepared for all eventualities. 
    ""Likewise, the financial sector should prepare for the
worst: a no-deal Brexit,"" he said, adding that he hopes the EU
and Britain can reach a deal that allows an orderly Brexit.
    Coeure also said that, while the financial system is far
safer than when the global financial crisis struck 10 years ago,
more work has to be done.
    He warned against complacency and said the next crisis might
not come from the financial system. 
    ""At the ECB, we are currently looking closely at
cybersecurity ...  We don't want the next crisis to be triggered
by a hacker,"" he said.

 (Reporting by Madeline Chambers
Editing by David Goodman)
 ((Madeline.Chambers@thomsonreuters.com; +493028885230; Reuters
Messaging: ann.chambers.reuters.com@reuters.net))","['A:2', 'A:N', 'B:261', 'E:6G', 'E:A', 'G:3', 'G:3D', 'G:5M', 'G:7J', 'G:A', 'G:AL', 'G:B4', 'I:B', 'I:D', 'M:8', 'M:FD', 'M:I', 'B:128', 'E:4S', 'E:B', 'E:Q', 'M:K', 'B:125', 'B:126', 'B:127', 'B:262', 'E:5', 'M:DU', 'M:E7', 'M:N', 'E:1', 'E:G', 'G:B', 'M:A', 'M:ES', 'M:FG', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:GVD', 'N2:FINS', 'N2:BRXT', 'N2:INT', 'N2:WEU', 'N2:DE', 'N2:FR', 'N2:GB', 'N2:EUROP', 'N2:EZC', 'N2:EZ', 'N2:INFL', 'N2:GDP', 'N2:CEN', 'N2:HACK', 'N2:ECB', 'N2:BNKS', 'N2:CURINT', 'N2:PLCY', 'N2:RESF', 'N2:EU', 'N2:FINS08', 'N2:BISV08', 'N2:BSVC', 'N2:BISV', 'N2:MCE', 'N2:INTAG', 'N2:GEN', 'N2:POL', 'N2:BACT', 'N2:RES', 'N2:CEEU', 'N2:CRIM', 'N2:CLJ', 'N2:FRAUD1', 'N2:LEN']",2,6,True,True,True,True,Neutral,0.00020000000000020002
1,9,86e75ea0d28f9fe44890fb1eb960b7b3,Eurosceptic UK lawmaker Patel says cannot accept PM's Brexit plan,2018-10-01 1:49:39,EUR,0.0,2018-10-01 1:49:44,"{'EUR': 'Neutral', 'GBP': 'Negative'}","    BIRMINGHAM, England, Sept 30 (Reuters) - Eurosceptic
lawmaker Priti Patel said on Sunday Britain should not accept
Prime Minister Theresa May's Brexit plan and, if necessary, be
ready to leave the European Union without a deal. 
    Patel, a former cabinet minister, was speaking at a
pro-Brexit rally at the Conservative Party's annual conference
in Birmingham.

 (Reporting by Kylie MacLellan, writing by William James,
Editing by Elizabeth Piper)
 ((william.james@thomsonreuters.com; +44 207 542 3374; Reuters
Messaging: william.james.thomsonreuters.com@reuters.net))","['E:5', 'E:6G', 'E:B', 'G:3', 'G:7J', 'G:A', 'M:C', 'M:E9', 'M:K', 'M:N', 'M:X', 'B:77', 'A:N', 'A:2', 'I:D', 'M:R', 'M:T', 'M:ES', 'G:A7', 'B:197', 'B:255', 'B:256', 'B:69', 'B:75', 'M:DU', 'M:E7', 'M:1QD', 'N2:MCE', 'N2:BRXT', 'N2:PLCY', 'N2:WEU', 'N2:GB', 'N2:EUROP', 'N2:DIP', 'N2:GFIN', 'N2:EU', 'N2:POL', 'N2:TAX', 'N2:HOME', 'N2:GVD', 'N2:DBT', 'N2:GDP', 'N2:TRD', 'N2:LAW', 'N2:CLJ', 'N2:GBNI', 'N2:HSEBLD', 'N2:CYCS', 'N2:CYCP', 'N2:CYCS08', 'N2:CYCP08', 'N2:INTAG', 'N2:GEN', 'N2:LEN']",1,2,False,True,False,True,Neutral,0.00015999999999993797
2,20,a2f29c8c22ddcdd5d3c65bfee5ce526c,Britain's Hammond seeks to repair damaged ties to business community,2018-10-01 7:01:01,EUR,-0.46576000000000006,2018-10-01 7:02:05,"{'EUR': 'Neutral', 'GBP': 'Negative'}","    By William James
    BIRMINGHAM, England, Oct 1 (Reuters) - British finance
minister Philip Hammond will look to reassure businesses that
they remain at the heart of the centre-right Conservatives' plan
for the economy, against a backdrop of heightened tension over
Brexit.  
    Britain's exit from the European Union next March has
increased uncertainty for employers, with talks about the future
relationship between the world's fifth largest economy and it
largest trading partner becoming increasingly fraught.
    Hammond will seek to repair relations with a business
community which has expressed frustration over the government's
lack of clarity during the Brexit process and what some see as a
decision to put ideology before the economy.  
    ""We back business, as the cornerstone of a successful
economy; as a force for good in our society; and as an essential
expression of our values,” Hammond will say in his speech to the
Conservative Party's annual conference in Birmingham.
    Ahead of the conference, the British Chambers of Commerce
said it wanted the Conservatives to overcome their internal
divisions and ""to deliver real-world, practical answers to
business’s ongoing questions around Brexit – and avoid a messy
and disorderly exit from the EU.""
    Relations suffered earlier this year when then-foreign
minister Boris Johnson was quoted dismissing business leaders'
concerns about Brexit, using foul language in a meeting with EU
diplomats.
    The government has since adopted a more business friendly
negotiating strategy, but is struggling to win support from both
Brussels and May's own Conservative Party, raising fears talks
may end without a deal and disrupt firms' supply chains.
    Last week, Britain's opposition Labour Party sought to woo
business bosses even as it unveiled a raft of radical economic
policies, saying that the Conservatives had given them the
opportunity to pitch an alternative leftist strategy.
[nL8N1WB31F] 
    Hammond will seek to address what the government has
identified as one of the root causes of 2016's surprise vote to
leave the EU and a poor showing at a 2017 national election: a
failure to share the benefits of the modern capitalist economy
more evenly.
    ""Too many people have experienced years of slow wage growth,
felt less secure in their jobs and seen the housing market
spiral beyond their reach,"" he will say.
    ""So the challenge is to ensure that 21st Century capitalism
delivers for them; to convince them that our vision of Britain’s
future can meet their aspirations and that our plan, unlike
Labour’s, will actually deliver a better tomorrow for them and
their families.""
    He will announce investment into training in core subject
like science and maths and a series of initiatives to improve
productivity within Britain's small and medium-sized businesses.

 (Reporting by William James. Editing by Jane Merriman)
 ((william.james@thomsonreuters.com; +44 207 542 3374; Reuters
Messaging: william.james.thomsonreuters.com@reuters.net))","['E:5', 'E:6G', 'G:3', 'G:5Y', 'G:7J', 'M:1L', 'M:4', 'M:C', 'M:K', 'M:N', 'M:X', 'M:15', 'G:A', 'M:E9', 'E:C', 'M:R', 'M:DU', 'M:E7', 'G:1', 'G:B', 'G:B2', 'M:N5', 'MCCL:OVR', 'MCC:OVR', 'M:1QD', 'N2:MCE', 'N2:BRXT', 'N2:WEU', 'N2:PL', 'N2:GB', 'N2:NEWS1', 'N2:IMM', 'N2:DIP', 'N2:EU', 'N2:POL', 'N2:TAX', 'N2:MTPIX', 'N2:EUROP', 'N2:GFIN', 'N2:JOB', 'N2:TRD', 'N2:INTAG', 'N2:GEN', 'N2:EMRG', 'N2:CEEU', 'N2:EEU', 'N2:CIV', 'N2:LEN']",1,2,False,True,False,True,Neutral,0.00031000000000003247
3,29,c071033d5bb8b82db585771c911fb8e1,"GLOBAL MARKETS-Canadian dollar up on NAFTA hopes, Asian shares off to slow start",2018-10-01 9:03:32,EUR,-1.06246,2018-10-01 9:03:54,"{'USD': 'Neutral', 'EUR': 'Neutral', 'JPY': 'Neutral', 'CAD': 'Positive', 'CNY': 'Positive'}","    * Asian shares soft, trading seen slow with China on holiday
    * Caixin/Markit China manufacturing PMI hits lowest since
May 2017
    * Canadian dollar up on NAFTA hopes ahead of 0400 GMT
deadline   

    By Hideyuki Sano
    TOKYO, Oct 1 (Reuters) - The Canadian dollar and the Mexican
peso rose on Monday on hopes of progress in negotiations over a
renewed North American Free Trade Agreement (NAFTA) deal, but
Asian shares got off to a slow start amid further signs of
weakness in China.
    MSCI's broadest index of Asia-Pacific shares outside Japan
<.MIAPJ0000PUS> dipped 0.1 percent in early trade, led by fall
in Australia, though activity is likely to be slow due to
holidays in China including Hong Kong.
    Japan's Nikkei <.N225> gained 0.25 percent though the Topix
<.TOPX>, broader and better gauge of the market, was down 0.2
percent.
    Casting a shadow in Asia, two surveys showed on Sunday that
growth in China's manufacturing sector sputtered in September as
domestic and export demand softened. [nL4N1WG01M]. 
    The private Caixin/Markit factory Purchasing Managers' Index
(PMI) fell to 50.0, the lowest reading since May 2017, in a
stark reminder that the trade disputes are starting to have real
consequences on the economy.
    ""The escalation of trade tensions between the U.S. and China
recently has likely weighed on purchasing managers' sentiment as
reflected by softer readings in trade-related sub-indices,""
wrote economists at Bank of America Merrill Lynch.
    ""Deterioration of PMI in September is in line with our
expectation that coincident growth indicators will get worse
before getting better. As U.S.-China trade conflict intensifies,
we expect China's policymakers to step up monetary and fiscal
easing to soften the blow from higher tariffs,"" they added.
    The world's share markets had rallied in September on hopes
that China and the United States will eventually work out a deal
on trade, but talks proposed for around the end of the month
collapsed after the two sides launched more tit-for-tat tariffs.
    MSCI's broadest gauge of the world's shares covering 47
markets <.MIWD00000PUS> rose for the third straight month in
September. 
    In the currency market, the Canadian dollar rose about 0.5
percent to a four-month high of C$1.2838 to the U.S. dollar
<CAD=D4>.
    Canadian and U.S. negotiators ""made lots of progress"" on
Sunday on a renewed NAFTA, but had still not settled tough
issues such as American tariffs and access to Canada's dairy
market, an official and sources said. [nL2N1WG084]
    U.S. President Donald Trump's administration has said Canada
must sign on to the text of the updated North American Free
Trade Agreement by midnight on Sunday (0400 GMT Monday) or face
exclusion from the pact. 
    Canadian media said Prime Minister Justin Trudeau will hold
a cabinet meeting at 0200 GMT.
    The yen <JPY=> softened to 113.85 per dollar, its lowest
since mid-November last year.
    On the other hand, the euro was hit by worries about rise in
Italy's fiscal deficit after the Italian government agreed to
set a higher than expected budget deficit target that could put
Rome on a collision course with Brussels. [nL8N1WE1PY]
    The common currency traded at $1.1608 <EUR=>, having lost
1.2 percent last week and off three-month high of $1.18155
touched a week ago.
    Oil prices stayed near recent peaks, with international
benchmark Brent trading near a four-year high, as U.S. sanctions
on Tehran squeezed Iranian crude exports, tightening supply even
as other key exporters increased production.
    Brent crude futures <LCOc1> rose 0.4 percent to as high as
$83.07 per barrel, the strongest level since November 2014.

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MSCI, Nikkei datastream chart    http://reut.rs/2sSBRiD
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Editing by Kim Coghill)
 ((hideyuki.sano@thomsonreuters.com; +81 3 6441 1827; Reuters
Messaging: hideyuki.sano.thomsonreuters.com@reuters.net))
 
((To read Reuters Markets and Finance news, click on 
https://www.reuters.com/finance/markets
For the state of play of Asian stock markets please click on: <0#.INDEXA>))","['A:1', 'A:4', 'A:9', 'A:N', 'G:1', 'G:2H', 'G:3', 'G:3H', 'G:41', 'G:6J', 'G:7D', 'G:7U', 'G:A', 'G:AE', 'G:B1', 'G:K', 'M:1L', 'M:3F', 'M:NP', 'U:45', 'U:51', 'A:2', 'G:5', 'G:6', 'G:S', 'G:4', 'G:9', 'G:2EK', 'G:CI', 'U:C', 'U:4', 'U:Q', 'R:.MIAPJ0000PUS', 'R:.N225', 'R:CLc1', 'R:EUR=', 'R:JPY=', 'R:LCOc1', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'R:.TOPX', 'R:.MIAPJ0000PUS', 'R:.N225', 'R:.MIWD00000PUS', 'N2:STX', 'N2:COM', 'N2:FRX', 'N2:GVD', 'N2:EMRG', 'N2:AU', 'N2:WEU', 'N2:HK', 'N2:JP', 'N2:US', 'N2:SG', 'N2:TW', 'N2:EUROP', 'N2:KR', 'N2:CN', 'N2:ASIA', 'N2:NEWS1', 'N2:MKTREP', 'N2:REP', 'N2:CRU', 'N2:GOL', 'N2:DBT', 'N2:AUNZ', 'N2:EASIA', 'N2:ASXPAC', 'N2:AMERS', 'N2:NAMER', 'N2:ASEAN', 'N2:SEASIA', 'N2:NRG', 'N2:PREMTL', 'N2:METL', 'N2:LEN']",1,2,False,False,False,False,Neutral,2.999999999997449e-05
4,37,8e46cedcf4babf78b762963b894294dc,"GLOBAL MARKETS-Canadian dollar up on NAFTA agreement, Nikkei hits 27-year high",2018-10-01 11:08:03,EUR,-1.1868100000000001,2018-10-01 11:08:19,"{'USD': 'Positive', 'EUR': 'Neutral', 'JPY': 'Neutral', 'CAD': 'Positive', 'CNY': 'Positive', 'MXN': 'Positive'}","    * Canadian dollar, Mexico peso up after US, Canada agrees on
NAFTA
    * Nikkei up 0.6 pct, S&P500 mini futures up 0.5 pct
    * Asian shares soft, trading seen slow with China on holiday
    * Caixin/Markit China manufacturing PMI hits lowest since
May 2017

    By Hideyuki Sano
    TOKYO, Oct 1 (Reuters) - The Canadian dollar and the Mexican
peso rose and Japanese shares hit 27-year highs on Monday after
the United States and Canada reached a framework deal to update
the North American Free Trade Agreement.
    A Canadian source confirmed the two countries reached a
deal, with Canada agreeing to a side-letter arrangement
effectively capping automobile exports to the United States.
[nL2N1WG080]
    Japan's Nikkei <.N225> rose as much as 0.8 percent to climb
a tad above the 27-year high reached on Friday, and it ended the
morning session 0.6 percent ahead.
    U.S. stock futures <ESc1> also gained 0.5 percent.
    Norihiro Fujito, chief investment strategist at Mitsubishi
UFJ Morgan Stanley Securities, said NAFTA is the second largest
trade issue Washington has, after China.
    ""Investors will likely view the latest agreement positively,
a sign that trade disputes are easing outside China-U.S. talks,""
he said.
    MSCI's broadest index of Asia-Pacific shares outside Japan
<.MIAPJ0000PUS> was softer, falling 0.15 percent. Regional
volumes are likely to be light, due to holidays in China
including Hong Kong.
    Casting a shadow in Asia, two surveys showed on Sunday that
growth in China's manufacturing sector sputtered in September as
domestic and export demand softened. [nL4N1WG01M]. 
    The private Caixin/Markit factory Purchasing Managers' Index
(PMI) fell to 50.0, the lowest reading since May 2017, in a
stark reminder that the trade disputes are starting to have real
consequences on the economy.
    ""The escalation of trade tensions between the U.S. and China
recently has likely weighed on purchasing managers' sentiment as
reflected by softer readings in trade-related sub-indices,""
wrote economists at Bank of America Merrill Lynch.
    ""Deterioration of PMI in September is in line with our
expectation that coincident growth indicators will get worse
before getting better. As U.S.-China trade conflict intensifies,
we expect China's policymakers to step up monetary and fiscal
easing to soften the blow from higher tariffs,"" they added.
    In Japan, the Bank of Japan's tankan survey showed business
confidence among Japan's big manufacturers has worsened in the
September for three quarters in a row - for the first time since
2008-2009.
    The world's share markets had rallied in September on hopes
that China and the United States will eventually work out a deal
on trade, but plans for talks around the end of the month
collapsed after the two sides launched more tit-for-tat tariffs.
    MSCI's broadest gauge of the world's shares covering 47
markets <.MIWD00000PUS> rose for the third straight month in
September. 
    In the currency market, the Canadian dollar rose more than
0.5 percent to a four-month high of C$1.2814 to the U.S. dollar
<CAD=D4>.
    The Mexican peso also gained more than 0.6 percent to 18.54
per dollar <MXN=D2>, its highest since early August.
    As risk appetites improved, the yen <JPY=> softened 0.2
percent to 113.96 per dollar, its lowest since mid-November last
year.
    The euro was hit by worries about a rise in Italy's fiscal
deficit after the Italian government agreed to set a higher than
expected budget deficit target that could put Rome on a
collision course with Brussels. [nL8N1WE1PY]
    The common currency traded at $1.1608 <EUR=>, having lost
1.2 percent last week and off three-month high of $1.18155
touched a week ago.
    Oil prices gained, with international benchmark Brent
hitting a four-year high, as U.S. sanctions on Tehran squeezed
Iranian crude exports, tightening supply even as other key
exporters increased production.
    Brent crude futures <LCOc1> rose 0.6 percent to as high as
$83.25 per barrel, the strongest level since November 2014.

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MSCI, Nikkei datastream chart    http://reut.rs/2sSBRiD
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Editing by Kim Coghill and Richard Borsuk)
 ((hideyuki.sano@thomsonreuters.com; +81 3 6441 1827; Reuters
Messaging: hideyuki.sano.thomsonreuters.com@reuters.net))
 
((To read Reuters Markets and Finance news, click on 
https://www.reuters.com/finance/markets
For the state of play of Asian stock markets please click on: <0#.INDEXA>))","['A:1', 'A:4', 'A:9', 'A:N', 'G:1', 'G:2H', 'G:3', 'G:3H', 'G:41', 'G:6J', 'G:7D', 'G:7U', 'G:A', 'G:AE', 'G:B1', 'G:K', 'M:1L', 'M:3F', 'M:NP', 'U:45', 'U:51', 'A:2', 'G:5', 'G:6', 'G:S', 'G:4', 'G:9', 'G:2EK', 'G:CI', 'U:C', 'U:4', 'U:Q', 'R:.MIAPJ0000PUS', 'R:.N225', 'R:CLc1', 'R:EUR=', 'R:JPY=', 'R:LCOc1', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'R:.N225', 'R:.MIAPJ0000PUS', 'R:.MIWD00000PUS', 'N2:STX', 'N2:COM', 'N2:FRX', 'N2:GVD', 'N2:EMRG', 'N2:AU', 'N2:WEU', 'N2:HK', 'N2:JP', 'N2:US', 'N2:SG', 'N2:TW', 'N2:EUROP', 'N2:KR', 'N2:CN', 'N2:ASIA', 'N2:NEWS1', 'N2:MKTREP', 'N2:REP', 'N2:CRU', 'N2:GOL', 'N2:DBT', 'N2:AUNZ', 'N2:EASIA', 'N2:ASXPAC', 'N2:AMERS', 'N2:NAMER', 'N2:ASEAN', 'N2:SEASIA', 'N2:NRG', 'N2:PREMTL', 'N2:METL', 'N2:LEN']",1,2,False,False,False,False,Neutral,0.00011999999999989797
5,50,b0c286afa5f6bbbb898fc38cf70f0773,ECB publishes media interview with Benoît Cœuré,2018-10-01 13:00:32,EUR,0.0,2018-10-01 13:03:01,{'EUR': 'Neutral'},"FRANKFURT, Oct 1 (Reuters) - The European Central Bank published the following: Interview with Benoît Cœuré, Member of the Executive Board of the ECB, conducted by Carla Neuhaus on 19 September 2018 published on 1 October 2018

To access the full text of this publication, click on: https://www.ecb.europa.eu/press/inter/date/2018/html/ecb.in181001.en.html","['A:2', 'A:8', 'A:A', 'A:N', 'E:5', 'E:A', 'E:B', 'G:A', 'G:B4', 'M:1QD', 'M:8', 'M:DU', 'M:E7', 'M:I', 'M:K', 'M:ML', 'M:N', 'N2:ABS', 'N2:AGA', 'N2:CEN', 'N2:DBT', 'N2:ECB', 'N2:EU', 'N2:EUROP', 'N2:EZ', 'N2:GEN', 'N2:GVD', 'N2:INT', 'N2:INTAG', 'N2:LEN', 'N2:MCE', 'N2:MMT', 'N2:PLCY', 'N2:POL']",1,2,True,True,True,True,Neutral,0.00031000000000003247
6,66,1b66e34a1eca69fe4e50fbed1c172ad6,Italian short-end bond yields extend last week's rise on budget concerns,2018-10-01 14:11:25,EUR,0.0,2018-10-01 14:11:32,{'EUR': 'Neutral'},"    LONDON, Oct 1 (Reuters) - Italian short-end bond yields
extended last week's rise, opening up to 18 basis points higher
on Monday as concerns over the Italian budget continued to spook
investors.
    The European Commission is set to reject Italy's budget
plans in November and open a procedure against the country's
public accounts in February, Italian daily La Repubblica
reported on Monday. [nR1N1VZ00C]
    Italy's two-year government bond yields surged 18 basis
points to 1.23 percent, while its longer 10-year government bond
was up eight basis points at 3.23 percent. <IT2YT=RR>,
<IT10YT=RR>.
    

 (Reporting by Virginia Furness; Editing by Saikat Chatterjee)
 ((Virginia.Furness@thomsonreuters.com; +44207 542 5477;))","['A:2', 'A:N', 'G:1F', 'G:3', 'G:3D', 'G:55', 'G:5J', 'G:5M', 'G:6A', 'G:6X', 'G:7K', 'G:90', 'G:9Y', 'G:A', 'G:A3', 'G:AL', 'G:B4', 'M:3F', 'M:K', 'M:NP', 'E:B', 'E:5', 'M:E9', 'G:B', 'G:Y', 'G:AX', 'G:M', 'M:E7', 'M:N', 'M:DU', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:GVD', 'N2:AT', 'N2:WEU', 'N2:DE', 'N2:ES', 'N2:IT', 'N2:FR', 'N2:GR', 'N2:IE', 'N2:NL', 'N2:FI', 'N2:BE', 'N2:EUROP', 'N2:PT', 'N2:EZC', 'N2:EZ', 'N2:MKTREP', 'N2:EU', 'N2:REP', 'N2:PLCY', 'N2:MCE', 'N2:GFIN', 'N2:CEEU', 'N2:SEEU', 'N2:BLUX', 'N2:NORD', 'N2:GEN', 'N2:POL', 'N2:INTAG', 'N2:LEN']",1,2,False,True,False,True,Neutral,0.00023999999999979593
7,70,17a9a7323b86a7eb7aad15f1404fcd40,Denmark's Abacus Medicine says it plans IPO in Frankfurt,2018-10-01 14:18:30,EUR,0.0,2018-10-01 14:19:24,{'EUR': 'Neutral'},"    COPENHAGEN, Oct 1 (Reuters) - Denmark-based pharmaceutical
parallel trade company Abacus Medicine is preparing a listing on
the Frankfurt Stock Exchange, it said on Monday.
    The initial public offering (IPO) is expected to consist of
newly issued shares from a capital increase with targeted
proceeds of approximately 40 million euros ($46.36 million) and
the sale of existing shares from existing shareholders.
 
($1 = 0.8627 euros)    

 (Reporting by Teis Jensen, editing by Louise Heavens)
 ((teis.jensen@thomsonreuters.com; +4533969653/+4526309653;
Reuters Messaging: teis.jensen.thomsonreuters.com@reuters.net))","['E:M', 'G:3D', 'G:19', 'G:M', 'G:3', 'B:277', 'B:148', 'B:156', 'B:157', 'E:1', 'E:K', 'M:Z', 'G:2', 'G:A', 'G:AL', 'G:B', 'a1312cat:f', 'M:1QD', 'N2:IPO', 'N2:DE', 'N2:DK', 'N2:NORD', 'N2:WEU', 'N2:PHAR', 'N2:HECA', 'N2:PHMR', 'N2:PHAR08', 'N2:BACT', 'N2:FINE1', 'N2:CMPNY', 'N2:SCANDV', 'N2:EUROP', 'N2:EZC', 'N2:CEEU', 'N2:LEN']",1,2,False,False,False,False,Neutral,8.000000000030205e-05
8,74,9f43074fee12f1468cf462ff55ae5de5,"UK has fiscal capacity to cope with no-deal Brexit, Hammond says",2018-10-01 14:36:26,EUR,0.16726,2018-10-01 14:36:36,"{'EUR': 'Neutral', 'GBP': 'Negative'}","    BIRMINGHAM, England, Oct 1 (Reuters) - The United Kingdom
has the fiscal capacity to cope with leaving the European Union
without having first secured a deal, British finance minister
Philip Hammond said on Monday.
    When asked about health spending, Hammond said that voters
would have to accept that if they wanted an expanding health
service they would have to pay a little more tax.

 (Writing by Guy Faulconbridge; editing by Michael Holden)
 ((guy.faulconbridge@thomsonreuters.com; 07825218698;))","['A:9', 'M:G', 'M:T', 'G:6X', 'B:261', 'B:128', 'E:6G', 'E:D', 'G:3', 'G:3D', 'G:7J', 'G:A', 'M:1L', 'M:H', 'M:K', 'M:N', 'M:R', 'M:E7', 'M:C', 'B:125', 'B:126', 'B:127', 'B:262', 'M:DU', 'E:1', 'G:AL', 'G:B', 'M:ES', 'M:1QD', 'N2:FRX', 'N2:VOTE', 'N2:LAW', 'N2:IE', 'N2:FINS', 'N2:BNKS', 'N2:BRXT', 'N2:REGS', 'N2:WEU', 'N2:DE', 'N2:GB', 'N2:EUROP', 'N2:NEWS1', 'N2:ENV', 'N2:EU', 'N2:POL', 'N2:TRD', 'N2:GEN', 'N2:DIP', 'N2:FINS08', 'N2:BISV08', 'N2:BSVC', 'N2:BISV', 'N2:INTAG', 'N2:BACT', 'N2:EZC', 'N2:CEEU', 'N2:CLJ', 'N2:LEN']",1,2,False,True,False,True,Neutral,0.00013000000000018552
9,75,adb3e5a25d512bc63a29d00e196c3980,UK's Hammond says EU is in the mood for a Brexit deal,2018-10-01 14:39:07,EUR,0.0,2018-10-01 14:39:13,"{'EUR': 'Neutral', 'GBP': 'Negative'}","    BIRMINGHAM, England, Oct 1 (Reuters) - British finance
minister Philip Hammond said the European Union was in the mood
to do divorce deal, though he said uncertainty over Brexit had
already hit the United Kingdom's economy.
    ""The mood is undoubtedly that people want to do a deal with
the UK,"" Hammond told the BBC on Monday. ""Clearly there has been
a hit to the economy through the uncertainty that the Brexit
process has caused."" 
    ""Many businesses are sitting on their hands frankly waiting
to see what the out turn of this negotiation is before
confirming their investment plans,"" he said. ""I believe when the
prime minister lands this deal and brings it back there will
actually be a boost to the economy.""

 (Writing by Guy Faulconbridge; editing by Michael Holden)
 ((guy.faulconbridge@thomsonreuters.com; 07825218698;))","['A:9', 'M:G', 'M:T', 'G:6X', 'B:261', 'B:128', 'E:6G', 'E:D', 'G:3', 'G:3D', 'G:7J', 'G:A', 'M:1L', 'M:H', 'M:K', 'M:N', 'M:R', 'M:E7', 'M:C', 'E:5', 'B:125', 'B:126', 'B:127', 'B:262', 'M:DU', 'E:1', 'G:AL', 'G:B', 'M:ES', 'a1312cat:f', 'M:1QD', 'N2:FRX', 'N2:VOTE', 'N2:LAW', 'N2:IE', 'N2:FINS', 'N2:BNKS', 'N2:BRXT', 'N2:REGS', 'N2:WEU', 'N2:DE', 'N2:GB', 'N2:EUROP', 'N2:NEWS1', 'N2:ENV', 'N2:EU', 'N2:POL', 'N2:TRD', 'N2:GEN', 'N2:DIP', 'N2:MCE', 'N2:FINS08', 'N2:BISV08', 'N2:BSVC', 'N2:BISV', 'N2:INTAG', 'N2:BACT', 'N2:EZC', 'N2:CEEU', 'N2:CLJ', 'N2:LEN']",1,2,False,True,False,True,Neutral,0.00030999999999981043
