pos,neu,neg
0.00011,0.0002,6.00E-05
0.00043,0.00031,3.00E-05
7.00E-05,0.00024,1.00E-05
0.00031,8.00E-05,1.60E-04
0.00025,0.0004,0.00023
0.00029,0.0002,0.00027
0.00014,0.00013,0.00014
3.00E-05,7.00E-05,1.10E-04
0.00012,0.00017,0.00017
8.00E-05,5.00E-05,1.00E-04
0.00029,4.00E-05,1.10E-04
1.00E-04,9.00E-05,9.00E-05
1.00E-04,0.00011,0.00021
0.00015,0.00018,8.00E-05
0.00012,5.00E-05,2.00E-05
4.00E-05,3.00E-05,1.00E-05
0.00017,2.00E-05,1.20E-04
0.00018,1.00E-04,1.70E-04
0.00029,0.00018,7.00E-05
1.00E-04,0.00046,7.00E-05
0.00021,0.00017,7.00E-05
1.00E-05,0.00028,8.00E-05
0.00018,0.00042,2.00E-05
6.00E-05,0.00035,7.00E-05
7.00E-05,0.00015,7.00E-05
0.00016,6.00E-05,2.20E-04
8.00E-05,0.0002,0.00042
1.00E-04,9.00E-05,6.00E-05
1.00E-04,0.00011,3.00E-05
0.00021,0.00025,6.00E-05
9.00E-05,7.00E-05,1.00E-04
4.00E-05,0.00015,0.00024
1.00E-05,7.00E-05,1.80E-04
2.00E-05,6.00E-05,1.00E-04
6.00E-05,6.00E-05,6.00E-05
2.00E-05,3.00E-05,2.60E-04
2.00E-05,9.00E-05,2.60E-04
0.0001,0.00012,1.00E-05
6.00E-05,8.00E-05,8.00E-05
0.0001,0.0005,0.00013
0.00013,0.00054,0.00018
0.00017,0.00019,0.0003
0.00018,0.00024,0.00053
0.0002,0.00045,0.00079
1.00E-04,0.00047,1.00E-04
1.00E-04,0.00051,1.00E-04
0.00021,0.00036,0.00017
0,0.00026,0.00019
1.00E-04,0.00016,0.00021
1.00E-05,5.00E-05,2.20E-04
8.00E-05,4.00E-05,2.00E-05
1.00E-04,4.00E-05,2.00E-04
0.00011,3.00E-05,5.00E-05
0.00026,0.00013,0.00027
6.00E-05,0.00026,0.00031
0.00012,0.00028,0.00021
8.00E-05,3.00E-05,5.00E-05
6.00E-05,0.00048,0.00026
0.00086,0.00016,0.00019
3.00E-05,0.00033,3.00E-05
0.00096,0.00017,0.0002
0.0006,0.00015,0.00024
0.00033,6.00E-05,3.70E-04
0.00025,0.00014,1.00E-05
5.00E-05,8.00E-05,4.80E-04
0.00017,3.00E-05,1.60E-04
0.0002,3.00E-05,4.00E-05
0.00057,3.00E-05,6.00E-05
0.00026,3.00E-05,4.00E-05
0.00013,6.00E-05,4.00E-05
6.00E-05,1.00E-05,5.00E-05
0.00035,0,9.00E-05
3.00E-05,0.00029,7.00E-05
3.00E-05,9.00E-05,1.30E-04
8.00E-05,4.00E-05,1.40E-04
2.00E-05,0.0002,6.00E-05
0.00025,0.00021,3.00E-05
0.00026,0.00116,9.00E-05
0.00022,1.00E-04,1.20E-04
0.00022,0.00058,0.00011
0.00051,0.00021,0.00039
0.00046,0.00011,0.00114
0.00016,9.00E-05,3.70E-04
0.00016,0.00011,0.00036
9.00E-05,0.00041,0.00013
0.00016,0.00013,0.00026
0.00015,0.00013,4.00E-05
5.00E-05,0.00021,0.00011
6.00E-05,6.00E-05,2.00E-04
8.00E-05,1.00E-05,3.40E-04
3.00E-05,0.00011,0.00048
3.00E-05,0.00025,0.00036
6.00E-05,0.00067,8.00E-05
6.00E-05,0.00051,0.00029
7.00E-05,5.00E-05,3.20E-04
0.00039,0.00042,0.00036
8.00E-05,0.00052,0.00096
0.00018,0.00042,0.00012
0.00021,6.00E-05,4.60E-04
8.00E-05,0.00019,0.00021
0,0.00034,0.00011
0.00063,4.00E-05,1.00E-04
0.00066,0.00026,0.00021
0.00044,0.00151,0.00172
0.0008,0.00021,0.00027
0.0008,0.00045,0.00043
0.0003,0.00047,0.00036
6.00E-05,1.00E-04,1.00E-05
0.00017,0.00014,0.00011
0.00042,9.00E-05,4.00E-05
0.00055,0.0003,7.00E-05
0.00018,0.00014,6.00E-05
0,9.00E-05,3.40E-04
0.00021,3.00E-05,2.00E-04
0.00024,0.00034,6.00E-05
4.00E-05,0.00042,8.00E-05
0.00019,0.00016,1.00E-05
0.00021,0.00014,0.00028
0.00014,0.00019,0.00014
0.00022,0.00017,0.00038
0.00037,3.00E-05,1.20E-04
0.00037,0.0005,0.00012
0.00028,0.00016,0.00035
2.00E-05,0.00034,0.00024
0.00017,9.00E-05,3.50E-04
0.00017,0.00025,0.00039
0.00011,0.00041,0.00019
0.00022,3.00E-05,5.20E-04
0.00022,5.00E-05,5.40E-04
7.00E-05,0.00036,0.00069
4.00E-05,0.00036,0.00015
0.00014,0.00049,0.00031
0.00039,0.00099,0.00013
0.00039,0.0002,0.00032
2.00E-05,0.00012,0.00036
