,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,newsId,newsTitle,newsTime,ccyName,sentimentScore,lastUpdateTime,sentiment,body,subjects,takeSequence,messageType,primary_currency,EUR_sent,is_central_bank,is_political,or_filter,10m_Increase
0,5,5,11,4187814fb1f6f501ae3802cdc6852cb6,Parliament and EU will reject May's Brexit plan - UK lawmaker Rees-Mogg,2018-10-01 2:23:07,EUR,0.0,2018-10-01 2:23:13,"{'EUR': 'Positive', 'GBP': 'Positive', 'KRW': 'Positive'}","    BIRMINGHAM, England, Sept 30 (Reuters) - Leading Eurosceptic
lawmaker Jacob Rees-Mogg on Sunday predicted that neither the
British parliament or the European Union would accept Prime
Minister Theresa May's Brexit plan, and that leaving the bloc
without an exit deal should hold no fear.
    ""The (opposition) Labour Party doesn't like it and will vote
against it. The Conservative Party doesn't seem to like it and
we will vote against it, and the EU won't accept it,"" Rees-Mogg
told a pro-Brexit rally at the Conservative Party's annual
conference in Birmingham. 

 (Reporting by Kylie MacLellan, writing by William James)
 ((william.james@thomsonreuters.com; +44 207 542 3374; Reuters
Messaging: william.james.thomsonreuters.com@reuters.net))","['E:5', 'E:6G', 'E:B', 'G:3', 'G:7J', 'G:A', 'M:C', 'M:E9', 'M:K', 'M:N', 'M:X', 'B:77', 'A:N', 'A:2', 'I:D', 'M:R', 'M:T', 'M:ES', 'G:A7', 'M:9F', 'B:197', 'B:255', 'B:256', 'B:69', 'B:75', 'M:DU', 'M:E7', 'M:1QD', 'N2:MCE', 'N2:BRXT', 'N2:PLCY', 'N2:WEU', 'N2:GB', 'N2:EUROP', 'N2:DIP', 'N2:GFIN', 'N2:EU', 'N2:POL', 'N2:TAX', 'N2:HOME', 'N2:GVD', 'N2:DBT', 'N2:GDP', 'N2:TRD', 'N2:LAW', 'N2:CLJ', 'N2:GBNI', 'N2:WTO', 'N2:HSEBLD', 'N2:CYCS', 'N2:CYCP', 'N2:CYCS08', 'N2:CYCP08', 'N2:INTAG', 'N2:GEN', 'N2:LEN']",1,2,EUR,Positive,False,True,True,None
1,8,9,23,ffafa5bd8983519bbbe3d5d1dc95f10c,Irish consumer sentiment falls to 21-month low on Brexit worries,2018-10-01 7:01:01,EUR,-3.65911,2018-10-01 7:02:09,{'EUR': 'Positive'},"    DUBLIN, Oct 1 (Reuters) - Irish consumer sentiment weakened in September to its lowest level in 21 months as worries around Brexit and rising energy and housing costs weighed, a survey showed on Monday.
    Ireland is likely to be the fasting growing economy in Europe this year for the fifth year in a row, but the recovery has been uneven for some consumers, with only modest gains in purchasing power.
    The KBC Bank Ireland/ESRI Consumer Sentiment Index slipped to 96.4 in September from 102.4 in August and 107.6 in July. The second consecutive decline ends a see-saw pattern of monthly changes since the index hit a 17-year high in January.
    The survey's authors said in a statement that the fall represents a clear drop in confidence among Irish consumers and reflects a significant downgrade in views on household finances and the broader economic outlook.
    ""There is little doubt that the increasingly loud and jarring ticking of the Brexit clock has unnerved Irish consumers,"" KBC Ireland Chief Economist Austin Hughes said.
    ""The threat posed by a possible 'hard Brexit' is notably amplified by high profile cost increases in areas such as light, heating and housing while many consumers may feel their personal circumstances are very remote from recent reports of a return to the boom.""
    For the first time since December 2016, a larger share of consumers (23 percent) felt their financial circumstances had worsened over the previous year, than felt they had improved (21 percent),the survey found.

 (Reporting by Graham Fahy; Editing by Hugh Lawson)
 ((graham.fahy@thomsonreuters.com;))

Keywords: IRELAND ECONOMY/CONSUMERSENTIMENT
    
","['A:2', 'A:N', 'E:5', 'E:9', 'E:C', 'G:3', 'G:6X', 'G:7J', 'G:A', 'G:AL', 'G:B4', 'I:18', 'I:1N', 'I:1P', 'I:B', 'M:1QD', 'M:DU', 'M:E7', 'M:K', 'M:N', 'R:IECONC=ECI', 'N2:CCRE', 'N2:CSENT', 'N2:DBT', 'N2:ECI', 'N2:ECON', 'N2:EU', 'N2:EUROP', 'N2:EZ', 'N2:EZC', 'N2:GB', 'N2:GEN', 'N2:GVD', 'N2:IE', 'N2:INFL', 'N2:INTAG', 'N2:JOB', 'N2:LEN', 'N2:MCE', 'N2:MPLT', 'N2:POL', 'N2:WEU']",1,2,EUR,Positive,False,True,True,None
2,11,13,53,181a7b407c21cc5004b7e931f9aa7b17,Turkey - Factors to Watch on Oct. 1,2018-10-01 13:17:24,EUR,0.0,2018-10-01 13:17:33,"{'USD': 'Positive', 'EUR': 'Positive', 'CAD': 'Positive'}","    ISTANBUL, Oct 1 (Reuters) - Here are news, reports and
events that may affect Turkish financial markets on Monday.
    The lira <TRYTOM=D3> <TRY=> stood at 6.0399 against the
dollar at 0517 GMT, firming from a close of 6.0550 on Friday.
    The yield on the benchmark 10-year bond <TR10YT=RR> fell to
17.92 percent on Friday from 18.18 percent on Thursday.
    The main BIST 100 share index <.XU100> fell 0.34 percent on
Friday to 99,956.90 points.
    
    GLOBAL MARKETS
    The Canadian dollar and the Mexican peso rose and Japanese
shares hit 27-year highs on Monday after the United States and
Canada reached a framework deal to update the North American
Free Trade Agreement. A Canadian source confirmed the two
countries reached a deal, with Canada agreeing to a side-letter
arrangement effectively capping automobile exports to the United
States. [nL4N1WH1FF]
    
    BOTAS RAISES GAS PRICES
    State energy company Botas raised natural gas prices by 9
percent for residential users and 18.5 pct for industrial users,
energy sector sources said on Monday, the third hike in as many
months, as a slide in the lira's value fuels costs. [nL8N1WH0DD]
    
    PARLIAMENT REOPENS
    Parliament will reopen after the summer recess. President
Tayyip Erdogan will attend the opening ceremony (1100 GMT).
    
    ERDOGAN'S GERMANY VISIT
    Turkey aims to win easier access to the European Union for
its citizens, President Tayyip Erdogan said in Berlin on Friday
during a state visit that aims to repair relations with Germany
after bitter disputes. Turkey would move to meet the EU's
criteria for achieving visa liberalisation, he said on the
second day of a visit also intended to improve ties with the
European Union after the freeze that followed a failed coup in
2016. [nL8N1WE3KS]
    
    PMI <TRPMIM=ECI>
    The manufacturing Purchasing Managers' Index (PMI) for
September will be released (0700 GMT).
    
    EXPORTS <TREXPT=ECI>
    The exporters assembly will announce export data for
September (0800 GMT).
    
    ISTANBUL INFLATION
    The Istanbul Chamber of Commerce will release September
retail price data for the city (0900 GMT).
    
    For other related news, double click on:
    Turkish politics <TR-POL>
    Turkish equities <TR-E>
    Turkish money <TR-M>
    Turkish debt <TR-D>
    Turkish hot stocks <TR-HOT>
    Forex news <FRX>
    All emerging market news <EMRG>
    All Turkish news <TR>
    For real-time quotes, double click on:
    Istanbul National-100 stock index <.XU100>, interbank lira
trading <IYIX=>, lira bond trading <0#TRTSYSUM=IS>

 (Compiled by Daren Butler)
 ((daren.butler@tr.com; +90-212-350 7053; Reuters Messaging:
daren.butler.thomsonreuters.com@reuters.net))","['G:Q', 'A:9', 'G:8Z', 'G:3', 'G:H', 'A:2', 'G:A', 'E:9', 'E:5', 'G:S', 'G:1', 'M:Z', 'A:1', 'G:K', 'A:N', 'M:N', 'G:Y', 'M:E7', 'R:.XU100', 'R:TRYTOM=D3', 'R:TR10YT=RR', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'R:TRPMIM=ECI', 'R:TREXPT=ECI', 'R:.XU100', 'N2:MEAST', 'N2:FRX', 'N2:TR', 'N2:WEU', 'N2:SWASIA', 'N2:DBT', 'N2:EUROP', 'N2:ECI', 'N2:MCE', 'N2:ASXPAC', 'N2:EMRG', 'N2:CMPNY', 'N2:STX', 'N2:ASIA', 'N2:GVD', 'N2:POL', 'N2:SEEU', 'N2:GEN', 'N2:LEN']",1,2,EUR,Positive,False,True,True,None
3,20,40,107,c084d841bf68243e262f50b473c93b05,French factory growth slowest in three months in September - PMI,2018-10-01 15:50:00,EUR,0.0,2018-10-01 15:50:07,{'EUR': 'Positive'},"    PARIS, Oct 1 (Reuters) - French manufacturing activity grew in September at the slowest pace in three months as export demand weakened and input costs firmed, a monthly poll showed on Monday.
    Data compiler IHS Markit said its final purchasing managers' index fell to 52.5 in September from 53.5 in August, unchanged from a preliminary reading. 
    The result brought the indicator closer to the 50-point line dividing expansions in activity from contractions.
    Survey panellists reported the lowest factory output in two years as export orders fell slightly last month,  while input costs grew much fast than selling prices.
    ""Global trade frictions and stretched supply chain capacity were the main headwinds faced by goods producers, which contributed to an unhealthy mix of falling export sales and rising input prices,"" IHS Markit associate director Tim Moore said.
    He said that the automotive sector in particular reported weak business conditions, but said that in a positive note overall firms stepped up hiring.
    ""Job creation edged up slightly since August, which manufacturers linked to long-term capacity upgrades and ongoing business investment plans at their plants,"" he said.
    Business investment has been one of the main engines of growth in the French economy this year, helping to underpin employment gains in the face of weak household consumption.

 (Reporting by Leigh Thomas; Editing by Toby Chopra)
 ((leigh.thomas@thomsonreuters.com; +33 1 4949 5143;))
   
    - Detailed PMI data are only available under licence from IHS Markit and customers need to apply for a licence.
    To subscribe to the full data, click on the link: https://www.ihsmarkit.com/about/contact-us.html
    For further information, please phone IHS Markit on +800 6275 4800 or email economics@ihsmarkit.com

Keywords: FRANCE ECONOMY/PMI
    
","['E:5', 'E:9', 'G:3', 'G:5M', 'G:A', 'G:AL', 'I:1A', 'I:U', 'M:1L', 'M:1QD', 'M:DU', 'M:E7', 'M:K', 'M:N', 'M:PR', 'R:FRRPMI=ECI', 'N2:APOLL', 'N2:BSENT', 'N2:ECI', 'N2:EU', 'N2:EUROP', 'N2:EZC', 'N2:FR', 'N2:GEN', 'N2:INTAG', 'N2:LEN', 'N2:MCE', 'N2:NEWS1', 'N2:PMI', 'N2:POL', 'N2:WEU']",1,2,EUR,Positive,False,True,True,0.0001500000000000945
4,27,55,145,86e09ca8a894624d25cfc5fc853286bc,Slovenia police resume strike as new government takes over,2018-10-01 17:35:26,EUR,0.7479100000000001,2018-10-01 17:35:33,{'EUR': 'Positive'},"    LJUBLJANA, Oct 1 (Reuters) - Slovenian police resumed their
strike for higher wages on Monday, less then three weeks after a
new minority centre-left government led by Prime Minister Marjan
Sarec took power following a June parliamentary election.
    The police, who are demanding an average wage increase of
about 15 percent, began their strike in February but suspended
it in March when the previous prime minister resigned, prompting
an early election. [nL8N1Q22L3]
    They sent their demands to the new government a few days
after it was formed but have so far received no reply, Radivoj
Urosevic, the head of the Police Trade Union, told Reuters.
[nL5N1VZ68R]
    ""The position of the police is bad, which is why the number
of policemen in the country is shrinking,"" Urosevic said, adding
that the police would continue to perform all duties necessary
to ensure security in the country.
    By midday on Monday no incidents caused by the police strike
had been reported.
    A number of other trade unions are also demanding higher
wages, including teachers and nurses, and the government last
Thursday formed a team to conduct negotiations with the public
sector trade unions.
    The previous government said earlier this year that all the
trade union wage demands amounted to about one billion euros,
adding that the budget could not cover such wage hikes.
    Slovenia hopes to end 2018 with a budget surplus of about
0.4 percent of gross domestic product (GDP) versus a surplus of
0.03 percent last year.
    ""The government is taking the demands of the police trade
unions and other trade unions very seriously,"" the Ministry of
Public Administration said in a statement on Friday.
    ""The agreement between the government and trade unions is an
absolute priority for the governnment so we are aiming for talks
to begin as soon as possible,"" it added. 

 (Reporting By Marja Novak
Editing by Gareth Jones)
 ((Marja.Novak@thomsonreuters.com; +386-1-5058805, Reuters
Messaging: marja.novak.thomsonreuters.com@reuters.net))","['E:5', 'E:C', 'G:1', 'G:3', 'G:74', 'G:A', 'G:AL', 'G:B', 'G:B2', 'G:Y', 'E:3Y', 'M:N', 'M:E7', 'MCCL:OVR', 'MCC:OVR', 'M:1QD', 'N2:MCE', 'N2:JOB', 'N2:EMRG', 'N2:WEU', 'N2:SQ', 'N2:EUROP', 'N2:EZC', 'N2:CEEU', 'N2:EEU', 'N2:SEEU', 'N2:DISP', 'N2:POL', 'N2:GEN', 'N2:LEN']",1,2,EUR,Positive,False,True,True,1.999999999990898e-05
5,29,57,150,958edc748968ffef038314707b0c118e,UK Brexit Minister tells EU to get serious in Brexit talks,2018-10-01 17:47:22,EUR,0.35251,2018-10-01 17:48:53,"{'EUR': 'Positive', 'GBP': 'Neutral'}","    BIRMINGHAM, England, Oct 1 (Reuters) - UK Brexit minister
Dominic Raab called on European Union leaders to start to
compromise in talks over Britain's exit from the bloc, as time
runs out for a deal to be done. 
    ""If the EU want a deal, they need to get serious. And they
need to do it now,"" Raab told the Conservative party conference
in Birmingham on Monday. 
    He said that the EU's approach to talks so far had seen ""a
starkly one-sided approach to negotiation"" which had left ""no
room for serious compromise"". 

 (Reporting by Kylie MacLellan, writing by Sarah Young, editing
by Alistair Smout)
 ((sarah.young@thomsonreuters.com; +44 20 7542 1109; Reuters
Messaging: sarah.young.thomsonreuters@reuters.net))","['G:7J', 'G:3', 'G:A', 'M:N', 'M:C', 'A:1', 'A:N', 'A:2', 'E:6G', 'M:K', 'G:B4', 'A:9', 'M:1L', 'M:R', 'G:6X', 'M:4', 'M:DU', 'M:T', 'M:E7', 'G:AL', 'M:N5', 'M:ES', 'M:1QD', 'N2:GB', 'N2:WEU', 'N2:EUROP', 'N2:POL', 'N2:DIP', 'N2:STX', 'N2:GVD', 'N2:DBT', 'N2:BRXT', 'N2:EU', 'N2:EZ', 'N2:FRX', 'N2:NEWS1', 'N2:TRD', 'N2:IE', 'N2:IMM', 'N2:INTAG', 'N2:LAW', 'N2:GEN', 'N2:EZC', 'N2:CIV', 'N2:CLJ', 'N2:LEN']",1,2,EUR,Positive,False,True,True,0.00019999999999997797
6,33,62,156,4aa01e4632a9d72da7d915a23ffbb679,UPDATE 1-Volkswagen sees hardware fixes for older diesels as infeasible - source,2018-10-01 18:02:47,EUR,0.04546,2018-10-01 18:02:53,{'EUR': 'Positive'},"    * Positioning comes amid talks to avert bans on older models
    * German officials meet later on Monday
    * Government has been split on how to tackle issue

 (Updates with details, background)
    HAMBURG, Oct 1 (Reuters) - Volkswagen <VOWG_p.DE> believes a
hardware retrofit of older diesel cars is not feasible in the
near term, a source at the carmaker said on Monday, ahead of a
German coalition committee meeting on the matter. 
    The person, speaking on condition of anonymity, said that
suppliers were unwilling to assume liability, and that car
manufacturers also rejected guarantees for hardware changes. 
    The positioning comes as the German government and carmakers
try to agree on a deal to avert court bans on older diesel
vehicles from city streets to improve air quality.
    Leaders and senior members of the parties in Chancellor
Angela Merkel's ruling coalition of conservatives and
centre-left Social Democrats meet later on Monday to discuss the
issue.
    A spokesman for Volkswagen said that the company was
prepared to compromise. 
    ""Basically, we're interested in meaningful solutions that
help prevent bans in cities,"" said the spokesman. ""We'll
consider the contribution we can make in due course.""
    Merkel's government has been split on how best to tackle the
problem. Transport Minister Andreas Scheuer has sided with
carmakers in calling for incentives to encourage owners of older
models to trade them in for newer, cleaner ones.
    Environment Minister Svenja Schulze has, meanwhile, called
for hardware retrofits on older models - an option that the
industry says is only feasible in some cases but which would hit
fuel consumption and performance in others. [nL8N1WE2TH]

 (Reporting by Jan C. Schwartz; Writing by Tom Sims; Editing by
Maria Sheahan and Michelle Martin)
 ((Tom.Sims@thomsonreuters.com; +49 69 7565 1242; Reuters
Messaging: tom.sims.thomsonreuters.com@thomsonreuters.net))","['B:1292', 'B:71', 'B:72', 'E:D', 'G:3', 'G:3D', 'G:A', 'M:H', 'M:JZ', 'M:N', 'M:Z', 'U:E', 'B:255', 'B:69', 'E:1', 'G:AL', 'G:B', 'M:E7', 'A:4', 'U:C', 'R:BMWG.DE', 'P:4295869227', 'R:DAIGn.DE', 'P:4295869694', 'R:VOWG_p.DE', 'P:4295869244', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:CARM1', 'N2:AUTO', 'N2:CARM', 'N2:REGS', 'N2:WEU', 'N2:DE', 'N2:EUROP', 'N2:ENV', 'N2:AWLQ', 'N2:POL', 'N2:CMPNY', 'N2:CO2', 'N2:CYCS', 'N2:CYCS08', 'N2:BACT', 'N2:EZC', 'N2:CEEU', 'N2:GEN', 'N2:COM', 'N2:NRG', 'N2:LEN']",1,2,EUR,Positive,False,True,True,0.00013999999999980695
7,35,65,162,dbac8bcafc00e6192635a3d280d7a0bf,GRAPHIC-Slowing growth in CEE manufacturing signals golden days are over,2018-10-01 18:11:16,EUR,-2.01451,2018-10-01 18:12:45,{'EUR': 'Positive'},"    By Krisztina  Than and Sandor Peto
    BUDAPEST, Oct 1 (Reuters) - Growth in Czech and Polish
manufacturing slowed to almost two-year lows in September and
Hungarian data also showed a slowdown on Monday, signalling that
Central Europe's fast-growing economies are facing bleaker
prospects.
    The region, which has close economic and export links to the
eurozone, primarily to Germany, has been booming in the past
years helped by loose monetary policies. The Hungarian and
Polish central banks still maintain a dovish stance.
    But growth of Germany's manufacturing sector slowed to a
25-month low in September on the steepest drop in new export
orders in more than five years, which does not bode well for the
eastern economies of the European Union. 
    As rising uncertainties amid an escalating trade war between
the United States and China are taking their toll on the German
economy, the latest readings of Purchasing Managers' indices on
Monday showed the Czech PMI reading at its lowest since November
2016 and order growth also at a nearly 2-year low.
    Activity in Polish manufacturing barely grew in September as
new orders fell for the first time in nearly two years.
    The IHS Markit purchasing managers' index for Polish
manufacturing fell to 50.5 in September from 51.4 in August, its
lowest level since October, 2016. It came in below a forecast
for 51.5 in a Reuters poll.
    Hungary's seasonally-adjusted Purchasing Managers' Index
dropped to 53.8 in September from a revised 56 in August.
    The Association of Logistics, Purchasing and Inventory
Management said the figure was below an average reading of 57.1
in the past three Septembers.
    ""The PMIs for Central Europe fell markedly in September.
Most notably, the Polish and Czech surveys plunged to their
weakest levels since late-2016,"" Capital Economics said in a
note.
    ""Manufacturing output has weakened in Germany, and this is
starting to feed through to softer industrial activity in
Central Europe. This supports our forecast that growth across
the region will continue to slow over the coming quarters.""    
    Germany's leading economic institutes last week cut their
2018 growth forecast for Europe's largest economy to 1.7 percent
from 2.2 percent.
    Hungary's economy, home to big car manufacturing plants of
Daimler and Audi, is expected to slow to 3.5 percent next year
and 3 percent in 2020, from 4.4 percent this year according to
central bank data.
    The Polish economy is projected to slow as well, to 3.8
percent next year from 4.6 percent this year based on central
bank data.
    The Czech economy is expected to grow at a rate of 3.2
percent this year and 3.4 percent next year, according to its
central bank. 

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Czech, Hungarian, Polish PMIs vs Germany    https://reut.rs/2ItL7lo
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Additional reporting by Jason Hovet in Prague, editing by Ed
Osmond)
 ((krisztina.than@thomsonreuters.com; +36 1 327 4745; Reuters
Messaging: krisztina.than.thomsonreuters.com@reuters.net))","['A:2', 'A:N', 'E:9', 'E:B', 'G:1', 'G:2E', 'G:5Y', 'G:A', 'G:B', 'M:N', 'M:NT', 'G:46', 'B:1292', 'B:1294', 'B:72', 'G:1C', 'G:3D', 'I:U', 'M:Z', 'G:3', 'G:B2', 'I:19', 'B:255', 'B:69', 'B:71', 'E:5', 'G:AL', 'M:E7', 'R:NSUG.DE', 'P:4295869354', 'R:DAIGn.DE', 'P:4295869694', 'R:VOWG_p.DE', 'P:4295869244', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:DBT', 'N2:GVD', 'N2:ECI', 'N2:PLCY', 'N2:EMRG', 'N2:CZ', 'N2:PL', 'N2:EUROP', 'N2:CEEU', 'N2:POL', 'N2:MTGFX', 'N2:HU', 'N2:CARM1', 'N2:AUTOMV', 'N2:CARM', 'N2:SK', 'N2:DE', 'N2:PMI', 'N2:CMPNY', 'N2:WEU', 'N2:EEU', 'N2:IPR', 'N2:CYCS', 'N2:CYCS08', 'N2:AUTO', 'N2:MCE', 'N2:EZC', 'N2:GEN', 'N2:LEN']",1,2,EUR,Positive,False,True,True,0.00039999999999995595
8,39,71,172,17dd56935141179c0f845fc6c6f37ae7,Romania central bank's FX reserves edge up in September,2018-10-01 18:30:22,EUR,0.0,2018-10-01 18:30:30,{'EUR': 'Positive'},"    BUCHAREST, Oct 1 (Reuters) - The Romanian central bank's
foreign exchange reserves, excluding 103.7 tonnes of gold, rose
by 361 million euros to 31.4 billion euros ($36.46 billion) in
September, the bank said on Monday.
    Inflows were 1,418 million euros, mainly representing
changes in credit institutions' foreign currency-denominated
required reserves and inflows into finance ministry's accounts.
    Outflows totalled 1,057 million euros and reflected changes
in credit institutions' foreign currency required reserves,
interest payments and principal repayments on foreign currency
public debt.
    The central bank said October payments to service external
public and publicly guaranteed foreign currency debt amounted to
409 million euros.

($1 = 0.8613 euros)

 (Reporting by Radu Marinas)
 ((radu.marinas@thomsonreuters.com; +40 21 305 5263; Reuters
Messaging: radu.marinas.thomsonreuters.com@reuters.net))","['A:9', 'A:N', 'E:5', 'E:6', 'E:9', 'G:1', 'G:2Z', 'G:A', 'G:B', 'G:B2', 'G:Y', 'I:1Y', 'M:8', 'E:4S', 'I:1W', 'A:2', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:FRX', 'N2:GVD', 'N2:MCE', 'N2:MEVN', 'N2:ECI', 'N2:EMRG', 'N2:RO', 'N2:EUROP', 'N2:CEEU', 'N2:EEU', 'N2:SEEU', 'N2:RESASS', 'N2:CEN', 'N2:CURINT', 'N2:KMOVE', 'N2:DBT', 'N2:LEN']",1,2,EUR,Positive,True,False,True,0.00038999999999989043
9,41,74,176,ef1064b9c183e5290415c57aae3cedbe,POLL-ECB to allot 5.3 billion euros at weekly tender,2018-10-01 18:51:58,EUR,0.0,2018-10-01 18:52:05,{'EUR': 'Positive'},"    * reuters://realtime/verb=Open/url=cpurl://apps.cp./cms/?pageId=ecbomopoll
 poll data 

    Oct 1 (Reuters) - The European Central Bank will allot 5.3
billion euros ($6.2 billion) at its seven-day refinancing
tender, less than the 6.4 billion euros maturing from last week,
a Reuters poll of euro money market traders showed on Monday
[nZYN0LEH01].
    Forecasts in the poll of 19 euro money markets traders
ranged from 2.0 billion to 6.8 billion euros.
    
 ALLOTMENT   7-DAY
 MEDIAN      5.3
 MEAN        5.1
 MODE        5.0
 HIGHEST     6.8
 LOWEST      2.0
 COUNT       19
 
GUIDE TO EUROPEAN CENTRAL BANK ANNOUNCEMENTS <ECBMENU>
ANNOUNCEMENTS ON ECB OPEN MARKET OPERATIONS <ECB24>
ECB WEBSITE <http://www.ecb.int>    
($1 = 0.8610 euros)

 (Reporting by Manjul Paul, polling by Vivek Mishra, editing by
Larry King)
 ((m.paul@thomsonreuters.com; +91 8067491649; Reuters
Messaging:manjul.paul.thomsonreuters.com@reuters.net))","['A:8', 'E:5', 'E:B', 'G:3', 'G:A', 'G:AL', 'G:B4', 'M:3A', 'M:8', 'M:I', 'M:K', 'M:NP', 'M:PR', 'M:DU', 'M:E7', 'M:N', 'MCCL:OEC', 'MCC:OEC', 'M:1QD', 'N2:MMT', 'N2:MCE', 'N2:PLCY', 'N2:WEU', 'N2:EUROP', 'N2:EZC', 'N2:EZ', 'N2:RPOLL', 'N2:CEN', 'N2:ECB', 'N2:EU', 'N2:REP', 'N2:APOLL', 'N2:INTAG', 'N2:GEN', 'N2:POL', 'N2:LEN']",1,2,EUR,Positive,True,True,True,0.0003900000000001125
