Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
None,None,None,None,7.00E-05,None
None,7.00E-05,None,0.00015,0.00026,None
None,0.00026,None,2.00E-05,0.0002,None
0.00015,0.0002,None,0.0002,0.00042,None
2.00E-05,0.00042,6.00E-05,0.00014,0.00029,6.00E-05
0.0002,0.00029,3.00E-05,0.0004,0.00047,3.00E-05
0.00018,0.00047,0.0002,0.00039,0.00029,0.0002
0.00014,0.00038,0.00026,0.00039,0.00054,0.00026
0.0004,0.00071,0.00016,9.00E-05,1.00E-04,0.00016
0.00039,0.00029,0.00021,0.00041,0.00032,0.00021
0.00039,0.00054,8.00E-05,0.00025,0.00027,0.00014
9.00E-05,1.00E-04,0.00018,0.00057,0.00025,0.00016
0.00041,0.00032,0.00014,0.00044,0.00047,0.00025
0.00025,0.00027,0.00016,0.00022,0.00011,0.0004
0.00057,0.00025,0.00025,0.00049,0.00032,0.00102
0.00044,0.00047,0.0004,0.00011,0.00031,0.00054
0.0002,0.00011,0.00102,0.00034,0.00015,0.00032
0.00022,0.00032,0.00054,0.00019,0.00041,1.00E-05
0.00049,0.00031,0.00032,0.00025,0.00053,0.00022
3.00E-05,0.00015,1.00E-05,0.00011,0.00013,0.00041
0.00011,0.00041,0.00022,6.00E-05,1.00E-04,1.00E-05
9.00E-05,0.00053,0.00041,0.00019,5.00E-05,0.00011
0.00034,0.00013,1.00E-05,0.00022,0.00051,0.00011
0.00019,1.00E-04,0.00011,0.00024,0.00234,0.00103
0.00025,4.00E-05,0.00011,0.00018,0.00226,7.00E-05
0.00011,5.00E-05,0.00103,0.0002,0.00102,0.00035
6.00E-05,0.00051,7.00E-05,0.00015,4.00E-05,0.00035
0.00019,0.00062,0.00035,5.00E-05,0.00033,1.00E-04
4.00E-05,0.00234,0.00035,0.00018,1.00E-04,0.00097
0.00022,0.00226,0.00019,0.00018,1.00E-04,0.00063
0.00024,0.002,1.00E-04,1.00E-05,6.00E-05,0.00018
0.00018,0.00037,0.00097,3.00E-05,5.00E-05,0.00018
0.00015,0.00102,0.00063,0.00016,3.00E-05,0.00014
0.0002,4.00E-05,0.00018,8.00E-05,1.00E-05,8.00E-05
0.00015,0.00033,0.00036,6.00E-05,1.00E-05,6.00E-05
1.00E-05,0.00013,0.00018,8.00E-05,0.00013,8.00E-05
5.00E-05,1.00E-04,0.00014,0.00013,1.00E-04,0.00014
0.00018,1.00E-04,8.00E-05,3.00E-05,3.00E-05,0.0005
0.00018,6.00E-05,6.00E-05,5.00E-05,0.00049,3.00E-05
1.00E-05,5.00E-05,8.00E-05,5.00E-05,0.00059,8.00E-05
3.00E-05,3.00E-05,0.00014,0.00049,0.00029,0.00019
4.00E-05,1.00E-05,0.0005,0.00029,0.00051,0.00023
0.00016,1.00E-05,3.00E-05,0.00058,1.00E-04,0.00059
8.00E-05,0.00013,8.00E-05,0.00055,0.0003,0.00041
6.00E-05,1.00E-04,8.00E-05,0.00069,1.00E-04,0.0008
8.00E-05,3.00E-05,0.00019,0.00029,0.00019,0.00035
8.00E-05,0.00049,0.00023,0.00044,0.00045,0.00024
0.00013,0.00059,0.00059,0.00024,2.00E-05,0.00058
6.00E-05,0.00029,0.00059,2.00E-05,0.00014,0.0004
3.00E-05,0.00051,0.00041,0.00058,0.00022,0.00026
5.00E-05,1.00E-04,0.0008,0.00022,0.0009,0.00032
5.00E-05,0.0003,0.00035,0.00034,0.00102,8.00E-05
0.00049,5.00E-05,0.00024,0.0008,0.00022,0.00018
0.00041,1.00E-04,0.00032,0.00067,5.00E-05,0.00047
0.00029,0.00019,0.00058,0.00058,0.00072,0.00039
0.00058,0.00045,0.0004,0.00023,0.00047,8.00E-05
0.00055,2.00E-05,0.00026,0.0007,7.00E-05,2.00E-05
0.00069,0.00014,0.00032,0.00168,0.00022,0.00059
0.00029,0.00022,8.00E-05,0.00015,0.00059,0.00029
0.00044,0.00015,2.00E-05,0.00069,0.00059,0.00073
