SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-07 01:07:01",NULL,113.375,113.375,NULL,NULL,113.36,113.39,2018-11-07,01:07:01,3656142
USD/JPY,"2018-11-07 01:08:01",NULL,113.395,113.385,NULL,NULL,113.37,113.4,2018-11-07,01:08:01,3656148
USD/JPY,"2018-11-07 01:09:00",NULL,113.385,113.38499999999999,NULL,NULL,113.38,113.39,2018-11-07,01:09:00,3656154
USD/JPY,"2018-11-07 01:10:37",NULL,113.39,113.39,NULL,NULL,113.38,113.4,2018-11-07,01:10:37,3656160
USD/JPY,"2018-11-07 01:11:00",NULL,113.39500000000001,113.39,NULL,NULL,113.39,113.4,2018-11-07,01:11:00,3656166
USD/JPY,"2018-11-07 01:12:00",NULL,113.4,113.39500000000001,NULL,NULL,113.39,113.41,2018-11-07,01:12:00,3656172
USD/JPY,"2018-11-07 01:13:00",NULL,113.405,113.405,NULL,NULL,113.4,113.41,2018-11-07,01:13:00,3656178
USD/JPY,"2018-11-07 01:14:00",NULL,113.405,113.4,NULL,NULL,113.39,113.41,2018-11-07,01:14:00,3656184
USD/JPY,"2018-11-07 01:15:01",NULL,113.41,113.41,NULL,NULL,113.4,113.42,2018-11-07,01:15:01,3656190
USD/JPY,"2018-11-07 01:16:00",NULL,113.41,113.395,NULL,NULL,113.38,113.41,2018-11-07,01:16:00,3656196
USD/JPY,"2018-11-07 01:17:00",NULL,113.405,113.395,NULL,NULL,113.4,113.41,2018-11-07,01:17:00,3656202
USD/JPY,"2018-11-07 01:18:00",NULL,113.405,113.405,NULL,NULL,113.4,113.41,2018-11-07,01:18:00,3656208
USD/JPY,"2018-11-07 01:19:00",NULL,113.405,113.405,NULL,NULL,113.39,113.42,2018-11-07,01:19:00,3656214
USD/JPY,"2018-11-07 01:20:04",NULL,113.415,113.405,NULL,NULL,113.4,113.43,2018-11-07,01:20:04,3656220
